a)
V0 mass [GeV/c^2] 	 counts
V0 mass [GeV/c^2] 	 counts
1.036	 	 	 0
1.044	 	 	 0
1.052	 	 	 0
1.06	 	 	 0
1.068	 	 	 0
1.076	 	 	 2
1.084	 	 	 395.996
1.092	 	 	 848.684
1.1	 	 	 1111.52
1.108	 	 	 1158.43
1.116	 	 	 1161.42
1.124	 	 	 970.192
1.132	 	 	 823.736
1.14	 	 	 673.572
1.148	 	 	 558.58
1.156	 	 	 397.884
1.164	 	 	 357.428
1.172	 	 	 295.732
1.18	 	 	 223.2
1.188	 	 	 177.356
1.196	 	 	 162.048
1.204	 	 	 127.588
1.212	 	 	 105.292
1.22	 	 	 75.516
1.228	 	 	 54.44
1.236	 	 	 41.756
1.244	 	 	 56.14
1.252	 	 	 44.22
1.26	 	 	 46.916
1.268	 	 	 24.992
1.276	 	 	 16.224
1.284	 	 	 25.916
1.292	 	 	 15.3
1.3	 	 	 18.148
1.308	 	 	 6.072
1.316	 	 	 9.996
1.324	 	 	 3.92
1.332	 	 	 8.228
1.34	 	 	 6.072
1.348	 	 	 11.152
1.356	 	 	 4.92
1.364	 	 	 5.92
1.372	 	 	 2.46
1.38	 	 	 1.152
1.388	 	 	 5.46
1.396	 	 	 4.384
1.404	 	 	 -0.848
1.412	 	 	 4.152
1.42	 	 	 6.536
1.428	 	 	 1.384
1.436	 	 	 -0.232
1.444	 	 	 -0.924
1.452	 	 	 4.384
1.46	 	 	 1.384
1.468	 	 	 4.384
1.476	 	 	 0.076
1.484	 	 	 0.692
1.492	 	 	 2
1.5	 	 	 1
1.508	 	 	 -0.308
1.516	 	 	 1
1.524	 	 	 -0.308
1.532	 	 	 0
1.54	 	 	 0
1.548	 	 	 1
1.556	 	 	 -0.308
1.564	 	 	 0.692
1.572	 	 	 -0.308
1.58	 	 	 -0.308
1.588	 	 	 -0.308
1.596	 	 	 0
1.604	 	 	 0
1.612	 	 	 0
1.62	 	 	 0
1.628	 	 	 -0.308
1.636	 	 	 0
1.644	 	 	 0
1.652	 	 	 0
1.66	 	 	 0
1.668	 	 	 -0.308
1.676	 	 	 1
1.684	 	 	 0
1.692	 	 	 0
1.7	 	 	 0


c)
Anti-Lambda:
V0 mass [GeV/c^2] 	 counts
1.036	 	 	0
1.044	 	 	0
1.052	 	 	0
1.06	 	 	0
1.068	 	 	0
1.076	 	 	1
1.084	 	 	259.996
1.092	 	 	562.684
1.1	 	 	681.516
1.108	 	 	743.432
1.116	 	 	711.424
1.124	 	 	584.192
1.132	 	 	562.736
1.14	 	 	401.572
1.148	 	 	355.58
1.156	 	 	296.884
1.164	 	 	236.428
1.172	 	 	177.732
1.18	 	 	148.2
1.188	 	 	110.356
1.196	 	 	104.048
1.204	 	 	83.588
1.212	 	 	91.292
1.22	 	 	60.516
1.228	 	 	51.44
1.236	 	 	43.756
1.244	 	 	46.14
1.252	 	 	39.22
1.26	 	 	21.916
1.268	 	 	18.992
1.276	 	 	27.224
1.284	 	 	14.916
1.292	 	 	14.3
1.3	 	 	14.148
1.308	 	 	12.072
1.316	 	 	10.996
1.324	 	 	4.92
1.332	 	 	10.228
1.34	 	 	4.072
1.348	 	 	4.152
1.356	 	 	6.92
1.364	 	 	-0.0799999
1.372	 	 	8.46
1.38	 	 	1.152
1.388	 	 	4.46
1.396	 	 	4.384
1.404	 	 	1.152
1.412	 	 	-0.848
1.42	 	 	-1.464
1.428	 	 	3.384
1.436	 	 	-0.232
1.444	 	 	0.076
1.452	 	 	2.384
1.46	 	 	2.384
1.468	 	 	0.384
1.476	 	 	-0.924
1.484	 	 	-0.308
1.492	 	 	0
1.5	 	 	1
1.508	 	 	0.692
1.516	 	 	0
1.524	 	 	-0.308
1.532	 	 	0
1.54	 	 	0
1.548	 	 	0
1.556	 	 	-0.308
1.564	 	 	-0.308
1.572	 	 	-0.308
1.58	 	 	-0.308
1.588	 	 	-0.308
1.596	 	 	0
1.604	 	 	0
1.612	 	 	0
1.62	 	 	0
1.628	 	 	-0.308
1.636	 	 	2
1.644	 	 	0
1.652	 	 	1
1.66	 	 	0
1.668	 	 	-0.308
1.676	 	 	0
1.684	 	 	0
1.692	 	 	0
1.7	 	 	0
