0.6	0.8	0.698	0.0031549	3.8255e-05	0.00020271
0.8	1	0.897	0.0028726	4.2997e-05	0.00019557
1	1.2	1.1	0.0021209	1.5586e-05	0.00011418
1.2	1.4	1.29	0.0018527	1.2926e-05	9.9607e-05
1.4	1.6	1.51	0.001666	1.1286e-05	9.0753e-05
1.6	1.8	1.7	0.0014486	9.9132e-06	7.7643e-05
1.8	2	1.9	0.0011771	8.4277e-06	6.5038e-05
2	2.4	2.2	0.00079834	4.5065e-06	4.306e-05
2.4	2.8	2.6	0.00043408	3.0417e-06	2.2597e-05
2.8	3.2	2.99	0.00020654	1.9539e-06	1.0663e-05
3.2	4	3.56	5.4666e-05	6.4926e-07	2.8986e-06
4	4.8	4.36	6.4208e-06	2.0086e-07	4.0616e-07
