0.6	0.8	0.697	0.0016879	1.5484e-05	9.4565e-05
0.8	1	0.895	0.0015031	1.4645e-05	7.987e-05
1	1.2	1.09	0.0012	7.3859e-06	6.2249e-05
1.2	1.4	1.31	0.00098648	5.9757e-06	5.4554e-05
1.4	1.6	1.5	0.00082114	5.0065e-06	4.5957e-05
1.6	1.8	1.7	0.00065733	4.2366e-06	3.5222e-05
1.8	2	1.9	0.0004883	3.4137e-06	2.8288e-05
2	2.4	2.2	0.00029466	1.7251e-06	1.6264e-05
2.4	2.8	2.59	0.00014048	1.0882e-06	7.1947e-06
2.8	3.2	2.99	6.1764e-05	6.7136e-07	3.1128e-06
3.2	4	3.56	1.5852e-05	2.1976e-07	8.0003e-07
4	4.8	4.36	1.7024e-06	6.5195e-08	1.0073e-07
