0.6	0.8	0.694	0.001773	1.3065e-05	0.00022851
0.8	1	0.89	0.0012629	1.1112e-05	0.00010038
1	1.2	1.11	0.001047	6.4203e-06	5.9279e-05
1.2	1.4	1.3	0.00077979	5.0627e-06	4.2173e-05
1.4	1.6	1.5	0.00057	4.0461e-06	3.0507e-05
1.6	1.8	1.7	0.00040455	3.1849e-06	2.1107e-05
1.8	2	1.9	0.00028136	2.514e-06	1.5418e-05
2	2.4	2.19	0.0001559	1.2269e-06	8.6579e-06
2.4	2.8	2.59	6.6106e-05	7.3406e-07	3.3507e-06
2.8	3.2	2.99	2.5804e-05	4.2766e-07	1.306e-06
3.2	4	3.56	6.0853e-06	1.3447e-07	3.0774e-07
4	4.8	4.36	9.4477e-07	4.7994e-08	5.5764e-08
