0.6	0.8	0.698	0.015329	0.00010434	0.0016121
0.8	1	0.896	0.011887	7.7691e-05	0.00065316
1	1.2	1.09	0.010023	4.3107e-05	0.00052176
1.2	1.4	1.31	0.008377	3.5653e-05	0.00042943
1.4	1.6	1.5	0.0068307	2.9679e-05	0.00035013
1.6	1.8	1.7	0.0053433	2.4551e-05	0.00027269
1.8	2	1.9	0.0039187	1.9804e-05	0.00020006
2	2.4	2.2	0.0023117	9.9609e-06	0.00011874
2.4	2.8	2.59	0.00097795	5.9561e-06	5.0052e-05
2.8	3.2	2.99	0.00036848	3.3887e-06	1.8815e-05
3.2	4	3.56	7.2386e-05	9.6961e-07	3.7274e-06
4	4.8	4.36	4.1367e-06	2.0876e-07	2.9046e-07
