#0-10%
0.55	0.000406112	1.77256e-06	4.10035e-05
0.65	0.00040181	1.73599e-06	3.47159e-05
0.75	0.000436651	1.92821e-06	4.86558e-05
0.85	0.000494315	2.31216e-06	4.9343e-05
0.95	0.000527424	2.71007e-06	5.5751e-05
1.1	0.000590965	2.58586e-06	7.43929e-05
1.3	0.000715239	4.41955e-06	0.000125958
1.5	0.000846899	7.89497e-06	0.0001356
1.8	0.00100843	1.37488e-05	0.00018152
2.2	0.000713301	3.60728e-05	0.000140403
#10-20%
0.55	0.000575525	2.79991e-06	5.26587e-05
0.65	0.000568828	2.77936e-06	5.27283e-05
0.75	0.00059389	3.01796e-06	7.02453e-05
0.85	0.00064371	3.50733e-06	7.14811e-05
0.95	0.000721605	4.36107e-06	0.000103403
1.1	0.000836807	4.37273e-06	8.97211e-05
1.3	0.00102756	7.66032e-06	0.0001856
1.5	0.00119071	1.36327e-05	0.000213653
1.8	0.00144186	2.38183e-05	0.000241843
2.2	0.00118508	6.73221e-05	0.000252652
#20-40%
0.55	0.000912902	3.98826e-06	8.94241e-05
0.65	0.000891174	3.99486e-06	8.22217e-05
0.75	0.000936431	4.47348e-06	0.000108581
0.85	0.00105584	5.54077e-06	0.000117298
0.95	0.00116799	6.94226e-06	0.000137065
1.1	0.00129992	6.9049e-06	0.000186002
1.3	0.00153608	1.20079e-05	0.000218902
1.5	0.00177841	2.18818e-05	0.000345107
1.8	0.00250433	4.4498e-05	0.000478043
2.2	0.00225568	0.000132431	0.000621388
#40-60%
0.55	0.00180737	1.26754e-05	0.000170253
0.65	0.00174014	1.33326e-05	0.000144951
0.75	0.00196792	1.6874e-05	0.000241409
0.85	0.00202595	1.99677e-05	0.000219033
0.95	0.00232475	2.67571e-05	0.000306588
1.1	0.00254874	2.77701e-05	0.000367439
1.3	0.00301126	5.10915e-05	0.000550895
1.5	0.00375736	0.00010393	0.000642633
1.8	0.00386105	0.000177683	0.000827364
2.2	0.00358274	0.000551582	0.000836387
