0.6	0.8	0.698	0.0015104	4.8924e-05	9.1738e-05
0.8	1	0.896	0.001324	5.2683e-05	7.2512e-05
1	1.2	1.09	0.0010359	2.292e-05	5.4173e-05
1.2	1.4	1.31	0.00090905	1.9006e-05	4.7676e-05
1.4	1.6	1.5	0.00081884	1.6369e-05	4.322e-05
1.6	1.8	1.7	0.0006781	1.4152e-05	3.6079e-05
1.8	2	1.9	0.00049326	1.1157e-05	2.5506e-05
2	2.4	2.2	0.00028953	5.5444e-06	1.5406e-05
2.4	2.8	2.59	0.00012212	3.2786e-06	6.3119e-06
2.8	3.2	2.99	5.5163e-05	2.0614e-06	2.9045e-06
3.2	4	3.56	1.2443e-05	6.2761e-07	6.5382e-07
4	4.8	4.36	1.0691e-06	1.6667e-07	8.7035e-08
