0.6	0.8	0.697	0.0049903	4.6942e-05	0.00058571
0.8	1	0.893	0.0039376	4.1593e-05	0.00030356
1	1.2	1.11	0.003087	2.4802e-05	0.00016334
1.2	1.4	1.31	0.0024837	2.008e-05	0.00012808
1.4	1.6	1.5	0.0018829	1.618e-05	9.5892e-05
1.6	1.8	1.7	0.0014196	1.3045e-05	7.1888e-05
1.8	2	1.9	0.00098802	1.0309e-05	5.0265e-05
2	2.4	2.19	0.0005558	5.0839e-06	2.8832e-05
2.4	2.8	2.59	0.00022898	2.9809e-06	1.2446e-05
2.8	3.2	2.99	8.6599e-05	1.7043e-06	4.4429e-06
3.2	4	3.56	1.6867e-05	4.8583e-07	8.9046e-07
4	4.8	4.36	8.9423e-07	1.0094e-07	1.1273e-07
