0.6	0.8	0.694	0.00092226	1.0505e-05	5.3216e-05
0.8	1	0.89	0.00071444	8.8658e-06	3.8742e-05
1	1.2	1.11	0.00056989	5.0262e-06	2.9489e-05
1.2	1.4	1.3	0.00043894	3.9708e-06	2.398e-05
1.4	1.6	1.5	0.00032925	3.2065e-06	1.8393e-05
1.6	1.8	1.7	0.0002343	2.5028e-06	1.2457e-05
1.8	2	1.9	0.0001584	1.9411e-06	1.8072e-05
2	2.4	2.19	8.6137e-05	9.2682e-07	5.2432e-06
2.4	2.8	2.59	3.5485e-05	5.4295e-07	1.8188e-06
2.8	3.2	2.99	1.6604e-05	3.4509e-07	8.7436e-07
3.2	4	3.56	2.9649e-06	9.421e-08	1.5486e-07
4	4.8	4.36	2.5622e-07	2.4994e-08	2.7828e-08
