0.6	0.8	0.692	0.074148	0.00079273	0.0043634
0.8	1	0.89	0.059468	0.00066433	0.0030462
1	1.2	1.11	0.045278	0.00039869	0.0022975
1.2	1.4	1.3	0.033267	0.00031295	0.0016788
1.4	1.6	1.5	0.023879	0.00024485	0.0012009
1.6	1.8	1.7	0.015708	0.00018666	0.00078897
1.8	2	1.9	0.0099784	0.00014086	0.0005011
2	2.4	2.19	0.0048438	6.4385e-05	0.00024304
2.4	2.8	2.58	0.0015259	3.3008e-05	7.9783e-05
2.8	3.2	2.98	0.00040108	1.5933e-05	2.1261e-05
3.2	4	3.56	6.0931e-05	3.963e-06	4.0243e-06
4	4.8	4.36	2.7297e-06	7.028e-07	3.6268e-07
