0.6	0.8	0.696	0.00084648	2.474e-05	5.4645e-05
0.8	1	0.893	0.0008036	2.2986e-05	4.7565e-05
1	1.2	1.09	0.00059631	1.1124e-05	3.1064e-05
1.2	1.4	1.31	0.00052447	9.157e-06	2.6916e-05
1.4	1.6	1.5	0.00043959	7.8224e-06	2.2373e-05
1.6	1.8	1.7	0.00034328	6.3821e-06	1.7494e-05
1.8	2	1.9	0.00025214	5.1082e-06	1.2842e-05
2	2.4	2.2	0.00014557	2.5322e-06	7.3945e-06
2.4	2.8	2.59	6.264e-05	1.5146e-06	3.2007e-06
2.8	3.2	2.99	2.5057e-05	8.9019e-07	1.2717e-06
3.2	4	3.56	4.9935e-06	2.5631e-07	3.5032e-07
4	4.8	4.36	1.5961e-07	4.134e-08	3.0676e-08
