0.6	0.8	0.697	0.010788	7.0964e-05	0.00097458
0.8	1	0.894	0.0086838	6.099e-05	0.00046531
1	1.2	1.09	0.0072295	3.4882e-05	0.00037145
1.2	1.4	1.31	0.0058594	2.8389e-05	0.00029847
1.4	1.6	1.5	0.0046291	2.3318e-05	0.00023607
1.6	1.8	1.7	0.0035135	1.8972e-05	0.00017924
1.8	2	1.9	0.0025496	1.5275e-05	0.00012972
2	2.4	2.19	0.0014641	7.5856e-06	7.4158e-05
2.4	2.8	2.59	0.00060336	4.4618e-06	3.0451e-05
2.8	3.2	2.99	0.00022166	2.5201e-06	1.1188e-05
3.2	4	3.56	4.4542e-05	7.2893e-07	2.2934e-06
4	4.8	4.36	3.0537e-06	1.7325e-07	1.7419e-07
