0.6	0.8	0.696	0.078315	0.00071459	0.0045753
0.8	1	0.891	0.065119	0.00059476	0.0033852
1	1.2	1.11	0.054012	0.00034721	0.0027473
1.2	1.4	1.3	0.043601	0.00028429	0.0022067
1.4	1.6	1.5	0.033832	0.00023097	0.0017085
1.6	1.8	1.7	0.025008	0.00018603	0.0012628
1.8	2	1.9	0.017394	0.00014638	0.00087868
2	2.4	2.19	0.0093278	7.0477e-05	0.00049171
2.4	2.8	2.59	0.0034966	3.9843e-05	0.00017725
2.8	3.2	2.99	0.0011249	2.1109e-05	6.5534e-05
3.2	4	3.56	0.00019572	5.6659e-06	1.014e-05
4	4.8	4.36	1.6571e-05	1.5522e-06	1.4023e-06
