d+Au 200 GeV pion background:
all background:
pt[GeV/c]	background[%]	error
1.15	 5.28	 0.85
1.17	 5.77	 0.91
1.19	 3.05	 0.66
1.21	 3.76	 0.75
1.23	 3.46	 0.75
1.25	 2.73	 0.69
1.27	 3.92	 0.92
1.29	 4.61	 0.98
1.31	 3.87	 0.93
1.33	 2.55	 0.78
1.35	 5.21	 1.17
1.37	 4.47	 1.14
1.39	 3.26	 0.96
1.41	 4.38	 1.12
1.43	 3.61	 1.06
1.45	 4.62	 1.22
1.47	 3.70	 1.14
1.49	 2.48	 0.95
1.51	 1.44	 0.72
1.53	 4.23	 1.30
1.55	 6.27	 1.62
1.57	 4.61	 1.49
1.59	 3.24	 1.35
1.61	 5.49	 1.78
1.63	 3.68	 1.42
1.65	 5.30	 1.92
1.67	 6.58	 2.15
1.69	 6.20	 2.26
1.71	 7.74	 2.32
1.73	 6.29	 2.05
1.75	 8.57	 2.58
1.77	 4.26	 1.77
1.79	 5.96	 2.05
1.81	 5.13	 2.15
1.83	10.08	 3.05
1.85	 7.56	 2.61
1.87	11.58	 3.69
1.89	 1.87	 1.33
1.91	 5.68	 2.61
1.93	 9.47	 3.30
1.95	 7.50	 3.17
1.97	 8.11	 3.44
1.99	14.93	 5.06
