pp collisions 200 GeV pbar energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.240000	-0.079863	0.001129
0.272000	-0.065198	0.000895
0.304000	-0.052502	0.000634
0.336000	-0.043430	0.000588
0.368000	-0.035624	0.000514
0.400000	-0.029241	0.000427
0.432000	-0.024749	0.000410
0.464000	-0.020683	0.000429
0.496000	-0.017894	0.000384
0.528000	-0.014819	0.000399
0.560000	-0.013926	0.000418
0.592000	-0.011062	0.000367
0.624000	-0.010229	0.000419
0.656000	-0.008460	0.000628
0.688000	-0.006984	0.000401
0.720000	-0.006250	0.000432
0.752000	-0.006131	0.000607
0.784000	-0.005771	0.000524
0.816000	-0.004934	0.000463
0.848000	-0.003472	0.000517
0.880000	-0.003896	0.000604
0.912000	-0.003565	0.000695
0.944000	-0.002366	0.000627
0.976000	-0.002850	0.000587
1.008000	-0.003352	0.000661
1.040000	-0.001714	0.000792
1.072000	-0.002190	0.000771
1.104000	-0.000563	0.000955
1.136000	-0.001675	0.000824
1.168000	-0.001705	0.000739
1.200000	-0.001305	0.000971
1.232000	-0.000201	0.000660
1.264000	-0.000861	0.000933
1.296000	-0.002192	0.000979
1.328000	-0.000361	0.001008
1.360000	-0.000954	0.000939
1.392000	0.000048	0.001378
1.424000	-0.001610	0.000993
1.456000	-0.000557	0.001260
1.488000	-0.001975	0.001337
1.520000	0.001679	0.001064
1.552000	0.000551	0.001155
1.584000	-0.000241	0.001186
1.616000	-0.000696	0.001228
1.648000	-0.002417	0.001491
1.680000	-0.001927	0.001509
1.712000	0.000106	0.001557
1.744000	-0.000275	0.001285
1.776000	0.002804	0.001500
1.808000	0.000906	0.001272
1.840000	0.003502	0.001551
1.872000	0.001541	0.001403
1.904000	0.001959	0.001346
1.936000	0.003321	0.001325
1.968000	0.010398	0.001314
Au+Au collisions 62.4 GeV kaon energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	0.000000	0.000000
0.144000	-0.053278	0.003284
0.176000	-0.036877	0.001190
0.208000	-0.026902	0.000547
0.240000	-0.020235	0.000439
0.272000	-0.014568	0.000354
0.304000	-0.011968	0.000325
0.336000	-0.009550	0.000290
0.368000	-0.007329	0.000297
0.400000	-0.006029	0.000291
0.432000	-0.004835	0.000418
0.464000	-0.003708	0.000303
0.496000	-0.003345	0.000361
0.528000	-0.002016	0.000329
0.560000	-0.002079	0.000361
0.592000	-0.002578	0.000441
0.624000	-0.002053	0.000435
0.656000	-0.000488	0.000441
0.688000	-0.000233	0.000483
0.720000	-0.001299	0.000524
0.752000	-0.000303	0.000499
0.784000	-0.000854	0.000635
0.816000	-0.000915	0.000563
0.848000	-0.000020	0.000622
0.880000	0.000464	0.000758
0.912000	0.000360	0.000831
0.944000	0.001286	0.000630
0.976000	0.000300	0.000839
1.008000	-0.001656	0.000905
1.040000	-0.000967	0.000752
1.072000	0.000386	0.000724
1.104000	0.001639	0.000666
1.136000	-0.001351	0.001363
1.168000	-0.001152	0.001107
1.200000	-0.000371	0.001321
1.232000	0.002854	0.000927
1.264000	0.000721	0.001388
1.296000	0.000106	0.001192
1.328000	-0.000663	0.001161
1.360000	0.001391	0.001205
1.392000	0.003169	0.000975
1.424000	-0.001593	0.001617
1.456000	0.001073	0.001635
1.488000	0.000893	0.001600
1.520000	-0.000418	0.001645
1.552000	0.001209	0.001336
1.584000	0.000143	0.001439
1.616000	-0.000221	0.001856
1.648000	0.000895	0.001648
1.680000	0.003222	0.001816
1.712000	0.000626	0.001433
1.744000	0.002435	0.001662
1.776000	0.004613	0.001964
1.808000	0.001504	0.001600
1.840000	0.000727	0.001746
1.872000	0.003618	0.001638
1.904000	0.003350	0.001748
1.936000	0.005940	0.001578
1.968000	0.014500	0.001964
Au+Au collisions 62.4 GeV pion energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	0.000000	0.000000
0.144000	0.000590	0.000251
0.176000	0.000471	0.000122
0.208000	0.000491	0.000125
0.240000	0.000233	0.000149
0.272000	0.000260	0.000157
0.304000	0.000483	0.000186
0.336000	0.000042	0.000205
0.368000	0.000128	0.000212
0.400000	0.000692	0.000277
0.432000	0.001055	0.000338
0.464000	0.000124	0.000360
0.496000	0.000544	0.000398
0.528000	0.000648	0.000420
0.560000	0.000548	0.000436
0.592000	0.001520	0.000548
0.624000	0.000282	0.000656
0.656000	0.001185	0.000572
0.688000	0.000293	0.000520
0.720000	0.000746	0.000733
0.752000	0.001287	0.000648
0.784000	0.001958	0.000810
0.816000	0.001435	0.000941
0.848000	0.000595	0.000992
0.880000	0.001074	0.000799
0.912000	0.001265	0.000961
0.944000	0.001776	0.000914
0.976000	0.000701	0.001179
1.008000	-0.000074	0.001030
1.040000	0.000473	0.001059
1.072000	0.001689	0.000941
1.104000	0.002184	0.000909
1.136000	0.000279	0.001302
1.168000	-0.000835	0.001595
1.200000	0.000399	0.002424
1.232000	0.002379	0.001248
1.264000	0.003400	0.001290
1.296000	0.000402	0.001712
1.328000	0.002948	0.001992
1.360000	-0.001701	0.003363
1.392000	0.001194	0.001821
1.424000	0.003755	0.001672
1.456000	0.001191	0.001714
1.488000	0.004158	0.002137
1.520000	0.000644	0.002550
1.552000	0.000875	0.001803
1.584000	0.001600	0.001786
1.616000	0.000326	0.002381
1.648000	0.000759	0.002294
1.680000	0.001910	0.002470
1.712000	0.002410	0.002442
1.744000	-0.000600	0.002641
1.776000	-0.000354	0.002069
1.808000	0.000601	0.002406
1.840000	0.001828	0.002336
1.872000	-0.000068	0.002053
1.904000	0.002810	0.002456
1.936000	0.006767	0.002515
1.968000	0.011036	0.002844
