proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.450000	0.003880	0.000085
0.550000	0.004089	0.000087
0.650000	0.004176	0.000087
0.750000	0.004067	0.000084
0.850000	0.003773	0.000079
0.950000	0.003698	0.000077
1.050000	0.003507	0.000072
1.150000	0.003239	0.000066
1.250000	0.003069	0.000060
1.350000	0.003049	0.000057
1.450000	0.002923	0.000052
1.550000	0.002852	0.000047
1.650000	0.002948	0.000045
1.750000	0.002888	0.000040
1.850000	0.002938	0.000038
1.950000	0.003006	0.000036
2.050000	0.003064	0.000034
2.150000	0.003135	0.000032
2.250000	0.003169	0.000030
2.350000	0.003196	0.000028
2.450000	0.003269	0.000027
2.550000	0.003301	0.000025
2.650000	0.003369	0.000025
2.750000	0.003359	0.000022
2.850000	0.003423	0.000022
2.950000	0.003459	0.000021
3.050000	0.003454	0.000019
3.150000	0.003532	0.000021
3.250000	0.003544	0.000020
3.350000	0.003557	0.000019
3.450000	0.003571	0.000018
3.550000	0.003610	0.000018
3.650000	0.003618	0.000018
3.750000	0.003625	0.000017
3.850000	0.003633	0.000016
3.950000	0.003609	0.000014
4.050000	0.003602	0.000012
4.150000	0.003638	0.000014
4.250000	0.003673	0.000016
4.350000	0.003649	0.000013
4.450000	0.003667	0.000014
4.550000	0.003661	0.000013
4.650000	0.003687	0.000014
4.750000	0.003687	0.000014
4.850000	0.003698	0.000014
4.950000	0.003735	0.000016
5.050000	0.003693	0.000013
5.150000	0.003680	0.000012
5.250000	0.003711	0.000014
5.350000	0.003697	0.000013
5.450000	0.003690	0.000012
5.550000	0.003707	0.000013
5.650000	0.003715	0.000014
5.750000	0.003709	0.000013
5.850000	0.003716	0.000014
5.950000	0.003693	0.000012
6.050000	0.003686	0.000011
6.150000	0.003723	0.000014
6.250000	0.003703	0.000012
6.350000	0.003708	0.000013
6.450000	0.003697	0.000012
6.550000	0.003711	0.000013
6.650000	0.003700	0.000012
6.750000	0.003703	0.000012
6.850000	0.003692	0.000011
6.950000	0.003698	0.000012
7.050000	0.003706	0.000012
7.150000	0.003712	0.000013
7.250000	0.003693	0.000011
7.350000	0.003710	0.000013
7.450000	0.003712	0.000013
7.550000	0.003707	0.000012
7.650000	0.003694	0.000011
7.750000	0.003696	0.000011
7.850000	0.003696	0.000011
7.950000	0.003673	0.000009
8.050000	0.003709	0.000012
8.150000	0.003696	0.000011
8.250000	0.003690	0.000011
8.350000	0.003704	0.000012
8.450000	0.003702	0.000012
8.550000	0.003691	0.000011
8.650000	0.003679	0.000010
8.750000	0.003702	0.000012
8.850000	0.003693	0.000011
8.950000	0.003706	0.000012
9.050000	0.003712	0.000013
9.150000	0.003676	0.000010
9.250000	0.003691	0.000011
9.350000	0.003704	0.000012
9.450000	0.003725	0.000014
9.550000	0.003689	0.000011
9.650000	0.003716	0.000013
9.750000	0.003687	0.000011
9.850000	0.003723	0.000013
9.950000	0.003719	0.000013
10.050000	0.003710	0.000012
10.150000	0.003683	0.000010
10.250000	0.003708	0.000012
10.350000	0.003712	0.000013
10.450000	0.003704	0.000012
10.550000	0.003691	0.000011
10.650000	0.003706	0.000012
10.750000	0.003700	0.000012
10.850000	0.003697	0.000011
10.950000	0.003702	0.000012
11.050000	0.003700	0.000012
11.150000	0.003699	0.000012
11.250000	0.003695	0.000011
11.350000	0.003693	0.000011
11.450000	0.003712	0.000013
