#Fig. 1 phi meson spectra

#Au+Au sqrt(s_NN) = 7.7 GeV 
#cen   0-10% most central
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
1.3       1.7        1.4895     4.6128e-002     1.0705e-003     5.1279e-003     5.2385e-003
1.7       2.0        1.8421     1.4776e-002     6.2141e-004     1.6520e-003     1.7650e-003
2.0       2.5        2.2250     4.9916e-003     2.5223e-004     5.7802e-004     6.3066e-004
2.5       3.0        2.7225     1.1250e-003     8.9053e-005     1.3965e-004     1.6563e-004
3.0       4.0        3.3881     1.1892e-004     1.3381e-005     1.6565e-005     2.1294e-005
4.0       5.0        4.3830     9.3721e-006     2.7561e-006     1.4393e-006     3.1093e-006

#cen   30-40%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4469     2.6126e-001     1.5984e-002     3.4533e-002     3.8053e-002
0.5       0.6        0.5497     2.3826e-001     9.1900e-003     3.0831e-002     3.2171e-002
0.6       0.7        0.6563     2.1215e-001     5.8643e-003     2.6937e-002     2.7568e-002
0.7       0.9        0.8051     1.5818e-001     2.4867e-003     1.9607e-002     1.9764e-002
0.9       1.0        0.9503     1.1717e-001     2.5330e-003     1.4253e-002     1.4476e-002
1.0       1.3        1.1478     7.0272e-002     1.0818e-003     8.4033e-003     8.4726e-003
1.3       1.7        1.4894     2.7738e-002     6.7416e-004     3.2853e-003     3.3538e-003
1.7       2.0        1.8421     9.4097e-003     4.2402e-004     1.1284e-003     1.2054e-003
2.0       2.5        2.2250     3.0447e-003     1.5032e-004     3.7756e-004     4.0639e-004
2.5       3.0        2.7225     6.3124e-004     5.4198e-005     8.2936e-005     9.9075e-005
3.0       4.0        3.3879     8.9170e-005     9.0105e-006     1.2791e-005     1.5646e-005
4.0       5.0        4.3828     6.0262e-006     1.4387e-006     9.1563e-007     1.7053e-006

#cen   40-60%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4449     1.4995e-001     9.0567e-003     1.8982e-002     2.1032e-002
0.5       0.6        0.5494     1.2024e-001     4.2786e-003     1.4969e-002     1.5568e-002
0.6       0.7        0.6527     1.0530e-001     2.7138e-003     1.2921e-002     1.3203e-002
0.7       0.9        0.8027     7.7126e-002     1.1232e-003     9.2993e-003     9.3669e-003
0.9       1.0        0.9500     5.2168e-002     1.0121e-003     6.2107e-003     6.2926e-003
1.0       1.3        1.1457     3.0609e-002     4.0561e-004     3.6084e-003     3.6312e-003
1.3       1.7        1.4865     1.0900e-002     2.2311e-004     1.2855e-003     1.3047e-003
1.7       2.0        1.8409     3.4469e-003     1.3630e-004     4.1398e-004     4.3584e-004
2.0       2.5        2.2231     1.1077e-003     5.1146e-005     1.3782e-004     1.4700e-004
2.5       3.0        2.7223     2.3545e-004     1.5229e-005     3.0899e-005     3.4448e-005
3.0       4.0        3.3944     3.0560e-005     2.9157e-006     4.3037e-006     5.1984e-006
4.0       5.0        4.3989     2.0930e-006     4.9396e-007     2.9979e-007     5.7781e-007

#cen   60-80%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4426     3.7253e-002     2.2566e-003     4.0899e-003     4.6711e-003
0.5       0.6        0.5493     3.2104e-002     1.1900e-003     3.5749e-003     3.7678e-003
0.6       0.7        0.6520     2.6021e-002     7.0047e-004     2.9339e-003     3.0163e-003
0.7       0.9        0.8016     1.7509e-002     2.7056e-004     2.0056e-003     2.0237e-003
0.9       1.0        0.9498     1.1642e-002     2.5553e-004     1.3507e-003     1.3747e-003
1.0       1.3        1.1444     6.4305e-003     1.0419e-004     7.5607e-004     7.6322e-004
1.3       1.7        1.4848     2.0523e-003     5.7431e-005     2.4501e-004     2.5165e-004
1.7       2.0        1.8401     6.7260e-004     3.9875e-005     8.1029e-005     9.0309e-005
2.0       2.5        2.2216     2.0614e-004     1.2868e-005     2.5042e-005     2.8155e-005
2.5       3.0        2.7214     4.1761e-005     4.3466e-006     5.1574e-006     6.7447e-006
3.0       4.0        3.3937     6.3067e-006     9.5455e-007     8.2695e-007     1.2629e-006
4.0       5.0        4.4011     2.9746e-007     8.0082e-008     4.6880e-008     9.2795e-008

#Fig. 2

#Au+Au sqrt(s_NN) = 7.7 GeV

#Omega spectra
#cen   0-60%
#pt  invariant yield   stat. err   sys. err
1.01427 0.00261527 0.000944016 0.000312062
1.44464 0.000978677 0.000270339 0.000167983
1.78541 0.000404759 8.62406e-05 4.58896e-05
2.22129 9.08301e-05 2.88634e-05 1.43706e-05
2.87284 5.3027e-06 3.67633e-06 1.66925e-06

#Anti-Omega spectra
#cen   0-60%
#pt  invariant yield   stat. err   sys. err
1.0088 0.000855682 0.000204696 4.29255e-05
1.4436 0.000234903 7.45194e-05 2.53923e-05
1.78349 7.95117e-05 3.20239e-05 9.04318e-06
2.21821 1.81605e-05 1.24703e-05 8.54971e-06
2.86906  2.59546e-06  1.87275e-06  1.09587e-06


#Au+Au sqrt(s_NN) = 11.5 GeV
#Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
1.01313 0.00860754 0.00370844 0.00117651
1.39583 0.00314635 0.000764603 0.000220714
1.78956 0.00182337 0.000289313 0.000119314
2.1861 0.000598362 0.000109128 5.25833e-05
2.58393 0.000182293 4.56246e-05 1.54288e-05
3.13005 2.16998e-05 8.42909e-06 3.11481e-06

#cen   10-60% 
#pt  invariant yield   stat. err   sys. err
1.00563 0.00384646 0.000644017 0.000233395
1.39186 0.00120076 0.000129369 7.19625e-05
1.78653 0.000453234 4.41293e-05 2.95673e-05
2.18393 0.000143267 1.71753e-05 1.03081e-05
2.58266 3.36526e-05 6.49027e-06 3.94691e-06
3.13015 7.72953e-06 1.65635e-06 5.83077e-07

#Anti-Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
1.01367 0.00388311 0.00157528 0.000639754
1.3961 0.00148649 0.000337804 0.000167895
1.7898 0.000690753 0.00011822 3.81576e-05
2.18636 0.000277847 5.50093e-05 2.1607e-05
2.58419 8.30605e-05 2.36443e-05 8.74287e-06
3.13102 8.94896e-06 4.84353e-06 1.48154e-06

#cen   10-60% 
#pt  invariant yield   stat. err   sys. err
1.0113 0.000970335 0.000211822 9.95379e-05
1.39489 0.000395753 5.50952e-05 1.51357e-05
1.78865 0.000234294 2.50402e-05 9.76809e-06
2.18517 6.37403e-05 9.66436e-06 4.78446e-06
2.58297 1.01077e-05 3.27398e-06 1.92162e-06
3.12641 2.61219e-06 9.57011e-07 2.27913e-07

#Au+Au sqrt(s_NN) = 19.6 GeV
#Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
1.01203 0.0170832 0.00296004 0.00251965
1.39542 0.00707997 0.000674653 0.000563584
1.78947 0.00331902 0.000280701 0.000244399
2.18638 0.000854749 9.7949e-05 0.000162385
2.58461 0.000347719 4.33678e-05 5.57209e-05
3.13475 6.67558e-05 9.39822e-06 1.22649e-05

#cen   10-20%
#pt  invariant yield   stat. err   sys. err
1.0126 0.0102127 0.0015584 0.00148067
1.39557 0.00417735 0.000424869 0.00044988
1.78931 0.00197503 0.000179893 0.00014164
2.18585 0.000554177 6.24609e-05 8.775e-05
2.58366 0.000178461 2.58696e-05 2.78197e-05
3.12905 2.92421e-05 5.69909e-06 4.18861e-06

#cen   20-40%
#pt  invariant yield   stat. err   sys. err
1.00867 0.00419571 0.000591435 0.000641952
1.39357 0.00225078 0.000205111 0.000181032
1.78775 0.000620339 5.69479e-05 5.23943e-05
2.1847 0.000230813 2.30432e-05 3.59344e-05
2.58295 5.64163e-05 8.88816e-06 8.64608e-06
3.1289 1.24654e-05 2.394e-06 1.78018e-06

#cen   40-60%
#pt  invariant yield   stat. err   sys. err
1.00552 0.00110674 0.000245822 0.000205001
1.39191 0.000389916 6.47817e-05 3.35968e-05
1.78674 0.000183049 2.89577e-05 1.428e-05
2.18432 3.82172e-05 8.25889e-06 6.09312e-06
2.58322 1.32465e-05 3.65834e-06 2.27302e-06
3.13297 2.9554e-06 9.48778e-07 5.42546e-07

#Au+Au sqrt(s_NN) = 19.6 GeV
#Anti-Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
1.01483 0.00780381 0.00125578 0.00054454
1.39664 0.00367763 0.000399356 0.000270005
1.79031 0.00180344 0.000158798 0.00015186
2.18687 0.000679038 6.88774e-05 2.72305e-05
2.58471 0.0002032 2.70923e-05 2.7714e-05
3.13304 2.66992e-05 5.65005e-06 6.58442e-06

#cen   10-20%
#pt  invariant yield   stat. err   sys. err
1.01418 0.0063183 0.00105186 0.000800465
1.39634 0.00257344 0.000281131 0.000167403
1.79003 0.00110879 0.00011062 8.99004e-05
2.18659 0.00038033 4.20205e-05 2.52479e-05
2.58443 0.000108106 1.82675e-05 1.55106e-05
3.13194 2.35251e-05 4.41111e-06 2.19719e-06

#cen   20-40%
#pt  invariant yield   stat. err   sys. err
1.01491 0.0024452 0.000367367 0.000207725
1.39667 0.00102401 0.000104086 5.99532e-05
1.79035 0.000548453 4.76946e-05 4.20097e-05
2.18691 0.000178079 1.81421e-05 8.81391e-06
2.58475 5.56916e-05 8.16267e-06 7.62273e-06
3.13318 7.77912e-06 1.96016e-06 7.05653e-07

#cen   40-60%
#pt  invariant yield   stat. err   sys. err
1.00869 0.000617707 0.000164295 4.7414e-05
1.39337 0.000310459 5.04858e-05 2.44599e-05
1.78715 0.000103307 1.86916e-05 8.49428e-06
2.18362 4.2699e-05 7.78225e-06 1.76535e-06
2.58135 7.4499e-06 2.51914e-06 1.23896e-06

#Au+Au sqrt(s_NN) = 27 GeV
#Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
1.01754 0.0124927 0.00204919 0.00139717
1.39777 0.00865718 0.000767841 0.000667535
1.79135 0.00368167 0.000269663 0.000375214
2.18793 0.00130169 9.47594e-05 0.000169243
2.5858 0.000442722 4.14181e-05 4.26519e-05
3.1372 8.83589e-05 8.30889e-06 1.10068e-05

#cen   10-20%
#pt  invariant yield   stat. err   sys. err
1.01456 0.0100671 0.00162976 0.00130854
1.39651 0.00518716 0.000480465 0.0003642
1.79019 0.00193869 0.000154097 0.000121925
2.18676 0.000716157 5.77449e-05 8.87863e-05
2.5846 0.000277121 2.62264e-05 2.37117e-05
3.13259 3.80716e-05 4.84698e-06 4.79573e-06

#cen   20-40%
#pt  invariant yield   stat. err   sys. err
1.01729 0.00418737 0.000483233 0.00048164
1.39767 0.00234685 0.000183764 0.000157054
1.79127 0.000924254 6.64142e-05 5.86529e-05
2.18784 0.000384396 2.6126e-05 4.14167e-05
2.58571 0.000106905 9.88205e-06 9.1321e-06
3.13685 2.55497e-05 2.36213e-06 3.32363e-06

#cen   40-60%
#pt  invariant yield   stat. err   sys. err
1.01142 0.00124037 0.000256704 0.000144039
1.39495 0.000715879 9.43549e-05 4.83292e-05
1.78871 0.000213957 2.53438e-05 1.35878e-05
2.18524 7.06493e-05 8.67516e-06 7.58653e-06
2.58303 2.59733e-05 4.0219e-06 2.22405e-06
3.12667 2.98132e-06 9.19676e-07 3.99199e-07

#Au+Au sqrt(s_NN) = 27 GeV
#Anti-Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
1.02033 0.00848074 0.00134475 0.00125046
1.39879 0.00517073 0.000470267 0.000413838
1.79225 0.0023014 0.000178634 0.000119314
2.18884 0.00103122 7.52202e-05 7.31802e-05
2.58672 0.000302677 2.95642e-05 2.73506e-05
3.14075 6.99047e-05 7.09398e-06 8.44036e-06

#cen   10-20%
#pt  invariant yield   stat. err   sys. err
1.01778 0.00546324 0.000818779 0.00075296
1.39787 0.00313816 0.000297686 0.000247821
1.79144 0.00131549 0.000110281 7.56148e-05
2.18802 0.000652817 5.33592e-05 4.92434e-05
2.58589 0.00014271 1.73693e-05 1.17796e-05
3.13753 3.55171e-05 4.39631e-06 3.39167e-06

#cen   20-40%
#pt  invariant yield   stat. err   sys. err
1.01628 0.00332534 0.000433737 0.000484053
1.39726 0.00167727 0.000131418 0.000133861
1.79089 0.000713622 5.03964e-05 3.69368e-05
2.18746 0.000246654 1.84123e-05 1.79938e-05
2.58532 8.94659e-05 8.27051e-06 6.62418e-06
3.13536 1.64359e-05 1.79187e-06 1.58493e-06

#cen   40-60%
#pt  invariant yield   stat. err   sys. err
1.00999 0.00092586 0.000187503 0.000121921
1.39415 0.000493195 6.73542e-05 3.88722e-05
1.78793 0.000189466 2.54691e-05 1.0149e-05
2.18443 5.93032e-05 8.29557e-06 4.38956e-06
2.5822 1.8805e-05 3.56701e-06 1.37112e-06
3.12355 1.4826e-06 5.38501e-07 1.95485e-07


#Au+Au sqrt(s_NN) = 39 GeV
#Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
0.964822 0.0228471 0.00261536 0.0018894
1.25144 0.0116259 0.000696369 0.00057679
1.54726 0.00718977 0.00030896 0.000416692
1.84503 0.00371336 0.000155729 0.000202861
2.18835 0.00158573 6.42082e-05 0.000103244
2.58624 0.000548248 2.80164e-05 3.58836e-05
2.98481 0.000185027 1.23585e-05 1.27873e-05
3.38381 7.20152e-05 6.01952e-06 7.88523e-06
3.78307 1.54763e-05 2.60514e-06 1.64778e-06
4.39417 2.85177e-06 5.86199e-07 3.64094e-07

#cen   10-20%
#pt  invariant yield   stat. err   sys. err
0.964951 0.0139117 0.00130655 0.000972202
1.25147 0.00685703 0.000373611 0.000351166
1.5473 0.00383364 0.000166526 0.00019191
1.84507 0.00224125 9.30772e-05 0.000137383
2.1884 0.00101058 3.94607e-05 6.54338e-05
2.58629 0.000326136 1.62243e-05 2.05695e-05
2.98487 0.000108617 7.69933e-06 7.47314e-06
3.38387 2.80399e-05 3.51073e-06 3.02206e-06
3.78312 1.11986e-05 1.72558e-06 1.51884e-06
4.39448 2.16456e-06 4.01281e-07 3.08924e-07

#cen   20-40%
#pt  invariant yield   stat. err   sys. err
0.964529 0.00613365 0.000464408 0.000482266
1.25135 0.0036376 0.000152306 0.00018011
1.54721 0.00203621 6.96722e-05 0.000102693
1.84497 0.0010535 3.59518e-05 5.34074e-05
2.18824 0.000451825 1.51067e-05 2.83077e-05
2.58611 0.000149032 6.52618e-06 9.04302e-06
2.9847 5.18299e-05 3.19059e-06 3.46051e-06
3.38369 1.83105e-05 1.59193e-06 1.92681e-06
3.78295 4.86789e-06 7.8599e-07 5.78471e-07
4.3935 1.12327e-06 2.07652e-07 1.43599e-07

#cen   40-60%
#pt  invariant yield   stat. err   sys. err
0.962424 0.00150255 0.000168779 0.00011467
1.25067 0.000873941 5.65913e-05 4.42422e-05
1.54666 0.000446857 2.55647e-05 2.26753e-05
1.84444 0.000217455 1.30817e-05 1.13446e-05
2.18729 7.99036e-05 5.02446e-06 5.01505e-06
2.58514 3.44753e-05 2.53849e-06 2.41237e-06
2.9837 1.084e-05 1.25925e-06 8.48381e-07
3.38267 2.55218e-06 5.25301e-07 2.74997e-07

#cen   60-80%
#pt  invariant yield   stat. err   sys. err
0.955978 0.000395057 7.6762e-05 2.85425e-05
1.24767 0.000137647 1.8828e-05 6.79811e-06
1.54398 7.23025e-05 8.64694e-06 4.17389e-06
1.84177 2.90401e-05 3.93771e-06 1.65186e-06
2.18244 9.48253e-06 1.63222e-06 6.05358e-07
2.58013 4.88535e-06 8.93084e-07 3.80133e-07

#Au+Au sqrt(s_NN) = 39 GeV
#Anti-Omega spectra
#cen   0-10%
#pt  invariant yield   stat. err   sys. err
0.96528 0.0149123 0.00177317 0.00105424
1.25157 0.00845682 0.00050982 0.000375638
1.54737 0.00526321 0.000240271 0.000272453
1.84514 0.00275424 0.000120584 0.00017559
2.18853 0.00138275 5.2926e-05 9.47599e-05
2.58641 0.000439269 2.22439e-05 3.91829e-05
2.985 0.000131974 1.00023e-05 1.24538e-05
3.384 4.34909e-05 4.81905e-06 4.47891e-06
3.78326 1.60664e-05 2.40683e-06 2.3251e-06
4.39523 1.90021e-06 5.22488e-07 2.66047e-07

#cen   10-20%
#pt  invariant yield   stat. err   sys. err
0.965262 0.011051 0.00102827 0.000870082
1.25157 0.00610198 0.000338657 0.000222224
1.54737 0.00279582 0.00012737 0.000143071
1.84512 0.00169046 7.37022e-05 8.73265e-05
2.18852 0.000749598 3.14249e-05 4.52517e-05
2.58641 0.000239253 1.36043e-05 2.08925e-05
2.98499 8.48907e-05 6.28114e-06 6.08529e-06
3.38399 2.67788e-05 3.25632e-06 3.05086e-06
3.78326 1.15415e-05 1.72943e-06 1.65885e-06
4.39516 1.69405e-06 3.6937e-07 2.53979e-07

#cen   20-40%
#pt  invariant yield   stat. err   sys. err
0.96387 0.00471022 0.000369886 0.000326242
1.25114 0.0028673 0.000124328 0.000100199
1.54704 0.00154131 5.69661e-05 6.27121e-05
1.84481 0.000832524 3.06329e-05 4.32569e-05
2.18796 0.000335101 1.22217e-05 2.10045e-05
2.58583 0.000111427 5.33866e-06 9.78318e-06
2.98441 4.0074e-05 2.62248e-06 2.64615e-06
3.38339 1.18529e-05 1.28043e-06 1.2367e-06
3.78265 4.22458e-06 6.95414e-07 5.51819e-07
4.39185 5.54105e-07 1.36809e-07 7.61573e-08

#cen   40-60%
#pt  invariant yield   stat. err   sys. err
0.962204 0.00119804 0.000144036 8.18628e-05
1.2506 0.000615025 4.45353e-05 2.48339e-05
1.54659 0.000395916 2.33153e-05 1.60627e-05
1.84437 0.000160727 1.03952e-05 8.24992e-06
2.18716 8.10099e-05 4.85982e-06 5.00156e-06
2.58502 2.24916e-05 2.08384e-06 1.96354e-06
2.98358 7.14426e-06 9.85557e-07 5.68896e-07
3.38255 1.98146e-06 4.71987e-07 2.04934e-07

#cen   60-80%
#pt  invariant yield   stat. err   sys. err
0.95607 0.000235876 5.39199e-05 1.78122e-05
1.24772 0.000110506 1.52906e-05 5.97741e-06
1.54404 5.57292e-05 6.99255e-06 3.42604e-06
1.84181 2.15681e-05 3.28713e-06 1.11545e-06
2.18253 7.85769e-06 1.50318e-06 5.3586e-07
2.58023 3.99415e-06 7.9905e-07 3.7056e-07


Fig. 3 and Fig. 4
#N(Omega+Anti-Omega)/2N(phi)
#pTlow  pT_high  N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
#Au+Au 200 GeV
#0-12%
1.0    1.4	     0.06879	                  0.009929	0.008956
1.4    1.8	     0.08916	                  0.008198	0.006828
1.8    2.2	     0.1402	                    0.01106	  0.01304
2.2    2.6	     0.1483	                    0.006242	0.0088
2.6    3.4	     0.1888	                    0.01559	  0.03124
3.4    4.2	     0.2008	                    0.02956	  0.03572
4.2    5.0	     0.1181	                    0.04122	  0.03561
5.0    5.8	     0.1146	                    0.08706	  0.08836

#Au+Au 7.7 GeV
#0-60%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.034    0.0095    0.0046
1.45     0.047    0.0121    0.0092
1.80     0.091    0.0223    0.0152
2.25     0.103    0.0598    0.0228

#Au+Au 11.5 GeV
#0-10%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.033    0.0110    0.0070
1.40     0.044    0.0093    0.0079
1.80     0.104    0.0203    0.0191
2.20     0.107    0.0390    0.0167
2.60     0.105    0.0396    0.0114
3.20     0.060    0.0266    0.0107

#10-60%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.040    0.0057    0.0061
1.40     0.045    0.0046    0.0062
1.80     0.069    0.0082    0.0093
2.20     0.121    0.0319    0.0122
2.60     0.102    0.0253    0.0129

#Au+Au 19.6 GeV
#0-10%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.043    0.0056    0.0073
1.40     0.056    0.0047    0.0080
1.80     0.094    0.0094    0.0143
2.20     0.128    0.0206    0.0183
2.60     0.187    0.0316    0.0273
3.20     0.158    0.0436    0.0315

#10-20%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.045    0.0052    0.0068
1.40     0.050    0.0043    0.0068
1.80     0.103    0.0115    0.0159
2.20     0.105    0.0145    0.0139
2.60     0.123    0.0292    0.0191
3.20     0.158    0.0503    0.0181

#20-40%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.033    0.0034    0.0055
1.40     0.050    0.0038    0.0065
1.80     0.076    0.0072    0.0084
2.20     0.104    0.0115    0.0138
2.60     0.100    0.0191    0.0121
3.20     0.098    0.0242    0.0119

#40-60%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.026    0.0045    0.0039
1.40     0.041    0.0050    0.0058
1.80     0.073    0.0099    0.0075
2.20     0.070    0.0132    0.0067
2.60     0.059    0.0182    0.0100


#Au+Au 27 GeV
#0-10%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.033    0.0039    0.0057
1.40     0.055    0.0039    0.0082
1.80     0.084    0.0061    0.0115
2.20     0.123    0.0108    0.0125
2.60     0.165    0.0216    0.0161
3.20     0.196    0.0347    0.0244


#10-20%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.035    0.0041    0.0059
1.40     0.050    0.0036    0.0071
1.80     0.078    0.0060    0.0102
2.20     0.109    0.0097    0.0128
2.60     0.123    0.0165    0.0128
3.20     0.134    0.0219    0.0151


#20-40%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.031    0.0027    0.0048
1.40     0.051    0.0030    0.0065
1.80     0.070    0.0044    0.0073
2.20     0.109    0.0084    0.0139
2.60     0.129    0.0145    0.0118
3.20     0.158    0.0221    0.0199


#40-60%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
1.00     0.026    0.0038    0.0032
1.40     0.051    0.0050    0.0065
1.80     0.057    0.0058    0.0047
2.20     0.073    0.0086    0.0073
2.60     0.092    0.0143    0.0144
3.20     0.055    0.0149    0.0092


#Au+Au 39 GeV
#0-10%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
0.95     0.046    0.0039    0.0061
1.25     0.046    0.0022    0.0053
1.55     0.064    0.0027    0.0068
1.85     0.094    0.0050    0.0095
2.20     0.130    0.0082    0.0126
2.60     0.174    0.0162    0.0177
3.00     0.168    0.0264    0.0182
3.40     0.238    0.0469    0.0302
3.80     0.237    0.0550    0.0300
4.50     0.145    0.0521    0.0202

#10-20%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
0.95     0.045    0.0031    0.0052
1.25     0.046    0.0020    0.0046
1.55     0.053    0.0022    0.0049
1.85     0.083    0.0043    0.0078
2.20     0.114    0.0066    0.0100
2.60     0.121    0.0101    0.0123
3.00     0.146    0.0182    0.0144
3.40     0.109    0.0196    0.0125
3.80     0.158    0.0356    0.0203
4.50     0.117    0.0330    0.0163

#20-40%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
0.95     0.036    0.0020    0.0041
1.25     0.045    0.0015    0.0046
1.55     0.056    0.0019    0.0056
1.85     0.079    0.0031    0.0066
2.20     0.088    0.0039    0.0081
2.60     0.100    0.0063    0.0098
3.00     0.136    0.0129    0.0129
3.40     0.127    0.0175    0.0146
3.80     0.151    0.0301    0.0180
4.50     0.110    0.0267    0.0148

#40-60%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
0.95     0.026    0.0021    0.0029
1.25     0.033    0.0017    0.0030
1.55     0.047    0.0023    0.0040
1.85     0.055    0.0032    0.0048
2.20     0.065    0.0041    0.0058
2.60     0.081    0.0068    0.0078
3.00     0.084    0.0104    0.0087
3.40     0.069    0.0151    0.0080


#60-80%
#pT N(Omega+Anti-Omega)/2N(phi)	stat.  	sys.
0.95    0.0273    0.0041    0.0031
1.25    0.0271    0.0027    0.0025
1.55    0.0387    0.0037    0.0035
1.85    0.0394    0.0046    0.0033
2.20    0.0395    0.0057    0.0036
2.60    0.0714    0.0116    0.0069


Fig. 5
#ks(pTs) = N(Omega+Anti-Omega)_(pT=3pTs)/2N(phi)_(pT=2pTs)
#N is the invariant yield

#Au+Au 7.7 GeV 0-60%
#pTs     ks(pTs)	 stat.     	sys.
0.334    0.0156    0.0044    0.0026
0.483    0.0112    0.0026    0.0023
0.600    0.0088    0.0018    0.0016
0.750    0.0050    0.0016    0.0011
1.000    0.0018    0.0010    0.0005

#Au+Au 11.5 GeV 0-10%
#pTs     ks(pTs)	 stat.     	sys.
0.333    0.0171    0.0056    0.0027
0.467    0.0116    0.0022    0.0015
0.600    0.0129    0.0018    0.0016
0.733    0.0099    0.0017    0.0013
0.867    0.0070    0.0018    0.0009
1.067    0.0028    0.0012    0.0005

#Au+Au 19.6 GeV 0-10%
#pTs     ks(pTs)	 stat.     	sys.
0.333    0.0224    0.0030    0.0033
0.467    0.0175    0.0013    0.0019
0.600    0.0168    0.0012    0.0017
0.733    0.0109    0.0011    0.0015
0.867    0.0089    0.0012    0.0013
1.067    0.0052    0.0008    0.0009


#Au+Au 27 GeV 0-10%
#pTs     ks(pTs)	 stat.     	sys.
0.333    0.0163    0.0019    0.0023
0.467    0.0189    0.0013    0.0023
0.600    0.0159    0.0009    0.0019
0.733    0.0129    0.0008    0.0016
0.867    0.0090    0.0008    0.0010
1.067    0.0061    0.0006    0.0008


#Au+Au 39 GeV 0-10%
#pTs     ks(pTs)	 stat.     	sys.
0.317    0.0256    0.0022    0.0030
0.416    0.0202    0.0009    0.0021
0.516    0.0197    0.0007    0.0020
0.617    0.0169    0.0007    0.0017
0.733    0.0145    0.0006    0.0015
0.867    0.0104    0.0006    0.0011
1.000    0.0073    0.0006    0.0008
1.133    0.0061    0.0006    0.0007
1.267    0.0038    0.0006    0.0005
1.500    0.0022    0.0004    0.0003

#Au+Au 200 GeV 0-5%
#pTs     ks(pTs)	  total error
0.4375   0.0153603  0.00283216
0.645833 0.0138472  0.0020722
0.854167 0.0116372  0.00183651
1.0625   0.00798084  0.0014118
1.33333  0.00283299  0.000773213
