#Fig. 1 phi meson spectra

#Au+Au sqrt(s_NN) = 7.7 GeV 
#cen   0-10% most central
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
2.5       3.5        2.8798     2.2391e-004     8.4572e-005     3.0035e-005     8.9747e-005

#cen   20-30%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4441     2.8238e-001     3.3366e-002     5.0445e-002     6.0481e-002
0.5       0.6        0.5494     2.5147e-001     2.2135e-002     4.2363e-002     4.7797e-002
0.6       0.7        0.6525     1.8726e-001     1.1958e-002     3.0032e-002     3.2326e-002
0.7       0.9        0.8022     1.3546e-001     5.9617e-003     2.0562e-002     2.1409e-002
0.9       1.0        0.9499     9.6560e-002     6.6733e-003     1.4186e-002     1.5677e-002
1.0       1.3        1.1449     4.9038e-002     3.3485e-003     7.1181e-003     7.8664e-003
1.3       1.7        1.4845     1.8899e-002     2.1148e-003     2.8551e-003     3.5530e-003
1.7       2.0        1.8393     5.6746e-003     1.2197e-003     9.1855e-004     1.5269e-003
2.0       2.5        2.2173     8.9900e-004     2.2072e-004     1.5316e-004     2.6865e-004
2.5       3.5        2.8660     9.8970e-005     3.3961e-005     1.3528e-005     3.6556e-005

#cen   30-40%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4437     1.7556e-001     2.8452e-002     3.3170e-002     4.3701e-002
0.5       0.6        0.5494     1.4130e-001     1.0749e-002     2.5355e-002     2.7540e-002
0.6       0.7        0.6523     1.1762e-001     8.6079e-003     2.0246e-002     2.2000e-002
0.7       0.9        0.8021     8.8485e-002     3.7951e-003     1.4580e-002     1.5065e-002
0.9       1.0        0.9498     5.2394e-002     4.1189e-003     8.4455e-003     9.3964e-003
1.0       1.3        1.1446     3.2027e-002     2.2084e-003     5.1620e-003     5.6146e-003
1.3       1.7        1.4840     1.0231e-002     7.9222e-004     1.7382e-003     1.9102e-003
1.7       2.0        1.8390     2.8383e-003     9.2141e-004     5.1847e-004     1.0573e-003
2.0       2.5        2.2165     6.0061e-004     1.4284e-004     1.1509e-004     1.8343e-004
2.5       3.5        2.8633     4.0234e-005     2.0305e-005     6.0590e-006     2.1189e-005

#cen   40-60%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4500     8.5695e-002     1.0321e-002     1.5084e-002     1.8276e-002
0.5       0.6        0.5551     7.0883e-002     5.2761e-003     1.1706e-002     1.2840e-002
0.6       0.7        0.6516     5.6206e-002     3.0952e-003     8.8238e-003     9.3509e-003
0.7       0.9        0.8008     3.6462e-002     1.2996e-003     5.4433e-003     5.5963e-003
0.9       1.0        0.9496     2.4376e-002     1.6623e-003     3.5643e-003     3.9329e-003
1.0       1.3        1.1427     1.1390e-002     7.0622e-004     1.6836e-003     1.8257e-003
1.3       1.7        1.4813     3.1067e-003     2.6689e-004     4.9787e-004     5.6489e-004
1.7       2.0        1.8377     1.1400e-003     3.3026e-004     1.9983e-004     3.8601e-004
2.0       2.5        2.2137     1.9030e-004     7.8967e-005     3.4466e-005     8.6161e-005
2.5       3.5        2.8589     1.0988e-005     6.6823e-006     1.1255e-006     6.7764e-006

#cen   60-80%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4500     2.3247e-002     3.4758e-003     4.0280e-003     5.3203e-003
0.5       0.6        0.5566     1.6140e-002     1.4076e-003     2.6672e-003     3.0158e-003
0.6       0.7        0.6518     1.1649e-002     8.4049e-004     1.8534e-003     2.0351e-003
0.7       0.9        0.8013     7.2894e-003     3.7717e-004     1.1155e-003     1.1775e-003
0.9       1.0        0.9497     5.0986e-003     4.4253e-004     7.6591e-004     8.8456e-004
1.0       1.3        1.1438     2.3793e-003     2.2114e-004     3.5840e-004     4.2114e-004
1.3       1.7        1.4835     7.9573e-004     1.0794e-004     1.2663e-004     1.6640e-004
1.7       2.0        1.8392     1.6625e-004     6.0484e-005     2.8528e-005     6.6874e-005
2.0       2.5        2.2188     5.1087e-005     1.6562e-005     9.2839e-006     1.8987e-005
2.5       3.5        2.8795     2.5194e-006     2.1245e-006     3.8793e-007     2.1596e-006

