proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
9.550000	0.000447	0.000023
9.650000	0.000471	0.000023
9.750000	0.000452	0.000023
9.850000	0.000467	0.000023
9.950000	0.000487	0.000023
10.050000	0.000427	0.000022
10.150000	0.000445	0.000022
10.250000	0.000438	0.000022
10.350000	0.000472	0.000023
10.450000	0.000458	0.000023
10.550000	0.000443	0.000022
10.650000	0.000439	0.000022
10.750000	0.000415	0.000022
10.850000	0.000488	0.000024
10.950000	0.000459	0.000023
11.050000	0.000433	0.000022
11.150000	0.000464	0.000023
11.250000	0.000472	0.000023
11.350000	0.000472	0.000023
11.450000	0.000446	0.000022
11.550000	0.000429	0.000022
11.650000	0.000441	0.000022
11.750000	0.000450	0.000023
11.850000	0.000438	0.000022
11.950000	0.000438	0.000022
12.050000	0.000464	0.000023
12.150000	0.000445	0.000022
12.250000	0.000438	0.000022
12.350000	0.000448	0.000023
12.450000	0.000422	0.000022
12.550000	0.000422	0.000022
12.650000	0.000455	0.000023
12.750000	0.000426	0.000022
12.850000	0.000410	0.000022
12.950000	0.000416	0.000022
13.050000	0.000458	0.000023
13.150000	0.000399	0.000021
13.250000	0.000433	0.000022
13.350000	0.000446	0.000022
13.450000	0.000429	0.000022
13.550000	0.000442	0.000022
13.650000	0.000398	0.000021
13.750000	0.000433	0.000022
13.850000	0.000407	0.000021
13.950000	0.000437	0.000022
14.050000	0.000412	0.000022
14.150000	0.000441	0.000022
14.250000	0.000390	0.000021
14.350000	0.000448	0.000023
14.450000	0.000427	0.000022
14.550000	0.000419	0.000022
14.650000	0.000447	0.000023
14.750000	0.000404	0.000021
14.850000	0.000399	0.000021
14.950000	0.000390	0.000021
15.050000	0.000402	0.000021
15.150000	0.000415	0.000022
15.250000	0.000396	0.000021
15.350000	0.000432	0.000022
15.450000	0.000404	0.000021
15.550000	0.000419	0.000022
15.650000	0.000409	0.000022
15.750000	0.000421	0.000022
15.850000	0.000426	0.000022
15.950000	0.000409	0.000022
16.050000	0.000430	0.000022
16.150000	0.000409	0.000022
16.250000	0.000383	0.000021
16.350000	0.000381	0.000021
16.450000	0.000404	0.000021
16.550000	0.000419	0.000022
16.650000	0.000395	0.000021
16.750000	0.000375	0.000021
16.850000	0.000378	0.000021
16.950000	0.000379	0.000021
17.050000	0.000348	0.000020
17.150000	0.000410	0.000022
17.250000	0.000384	0.000021
17.350000	0.000386	0.000021
17.450000	0.000399	0.000021
17.550000	0.000391	0.000021
17.650000	0.000388	0.000021
17.750000	0.000366	0.000020
17.850000	0.000384	0.000021
17.950000	0.000365	0.000020
18.050000	0.000379	0.000021
18.150000	0.000404	0.000021
18.250000	0.000401	0.000021
18.350000	0.000364	0.000020
18.450000	0.000345	0.000020
18.550000	0.000370	0.000020
18.650000	0.000386	0.000021
18.750000	0.000367	0.000020
18.850000	0.000353	0.000020
18.950000	0.000392	0.000021
19.050000	0.000381	0.000021
19.150000	0.000408	0.000021
19.250000	0.000367	0.000020
19.350000	0.000369	0.000020
19.450000	0.000370	0.000020
19.550000	0.000378	0.000021
19.650000	0.000388	0.000021
19.750000	0.000330	0.000019
19.850000	0.000382	0.000021
19.950000	0.000385	0.000021
pbar dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.050000	0.001232	0.000037
0.150000	0.003082	0.000059
0.250000	0.003860	0.000066
0.350000	0.003703	0.000065
0.450000	0.003001	0.000058
0.550000	0.002292	0.000051
0.650000	0.001654	0.000043
0.750000	0.001146	0.000036
0.850000	0.000887	0.000032
0.950000	0.000718	0.000029
1.050000	0.000589	0.000026
1.150000	0.000436	0.000022
1.250000	0.000427	0.000022
1.350000	0.000350	0.000020
1.450000	0.000332	0.000019
1.550000	0.000250	0.000017
1.650000	0.000243	0.000017
1.750000	0.000214	0.000016
1.850000	0.000187	0.000015
1.950000	0.000171	0.000014
2.050000	0.000181	0.000014
2.150000	0.000160	0.000013
2.250000	0.000134	0.000012
2.350000	0.000116	0.000011
2.450000	0.000104	0.000011
2.550000	0.000109	0.000011
2.650000	0.000111	0.000011
2.750000	0.000089	0.000010
2.850000	0.000059	0.000008
2.950000	0.000060	0.000008
3.050000	0.000060	0.000008
3.150000	0.000061	0.000008
3.250000	0.000060	0.000008
3.350000	0.000059	0.000008
3.450000	0.000059	0.000008
3.550000	0.000048	0.000007
3.650000	0.000035	0.000006
3.750000	0.000039	0.000007
3.850000	0.000032	0.000006
3.950000	0.000034	0.000006
4.050000	0.000035	0.000006
4.150000	0.000029	0.000006
4.250000	0.000026	0.000005
4.350000	0.000032	0.000006
4.450000	0.000027	0.000006
4.550000	0.000024	0.000005
4.650000	0.000022	0.000005
4.750000	0.000036	0.000006
4.850000	0.000019	0.000005
4.950000	0.000040	0.000007
5.050000	0.000026	0.000005
5.150000	0.000023	0.000005
