proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
16.920000	0.086040	0.001657
17.000000	0.085242	0.001649
17.080000	0.083742	0.001635
17.160000	0.083487	0.001632
17.240000	0.084189	0.001639
17.320000	0.085178	0.001649
17.400000	0.085561	0.001652
17.480000	0.083008	0.001628
17.560000	0.084125	0.001639
17.640000	0.081891	0.001617
17.720000	0.083040	0.001628
17.800000	0.084444	0.001642
17.880000	0.082178	0.001619
17.960000	0.082178	0.001619
18.040000	0.080615	0.001604
18.120000	0.079530	0.001593
18.200000	0.079434	0.001592
18.280000	0.081827	0.001616
18.360000	0.084061	0.001638
18.440000	0.085210	0.001649
18.520000	0.082115	0.001619
18.600000	0.081955	0.001617
18.680000	0.079530	0.001593
18.760000	0.082881	0.001626
18.840000	0.082402	0.001622
18.920000	0.080264	0.001600
19.000000	0.081572	0.001613
19.080000	0.078062	0.001578
19.160000	0.080200	0.001600
19.240000	0.080136	0.001599
19.320000	0.080934	0.001607
19.400000	0.082689	0.001624
19.480000	0.081253	0.001610
19.560000	0.079338	0.001591
19.640000	0.077934	0.001577
19.720000	0.079817	0.001596
19.800000	0.079274	0.001591
19.880000	0.077359	0.001571
19.960000	0.079242	0.001590
pbar dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.004947	0.000397
0.120000	0.016627	0.000728
0.200000	0.024861	0.000891
0.280000	0.034978	0.001057
0.360000	0.040946	0.001143
0.440000	0.045414	0.001204
0.520000	0.047233	0.001228
0.600000	0.047616	0.001233
0.680000	0.046818	0.001222
0.760000	0.047360	0.001229
0.840000	0.044265	0.001189
0.920000	0.039861	0.001128
1.000000	0.036254	0.001076
1.080000	0.034499	0.001049
1.160000	0.029393	0.000969
1.240000	0.027637	0.000939
1.320000	0.023425	0.000865
1.400000	0.020585	0.000811
1.480000	0.017553	0.000748
1.560000	0.017712	0.000752
1.640000	0.015287	0.000698
1.720000	0.012734	0.000637
1.800000	0.011425	0.000604
1.880000	0.010819	0.000588
1.960000	0.010372	0.000575
2.040000	0.009319	0.000545
2.120000	0.007564	0.000491
2.200000	0.007883	0.000502
2.280000	0.006925	0.000470
2.360000	0.005808	0.000431
2.440000	0.006191	0.000445
2.520000	0.005234	0.000409
2.600000	0.004723	0.000388
2.680000	0.004947	0.000397
2.760000	0.004340	0.000372
2.840000	0.004149	0.000364
2.920000	0.004085	0.000361
3.000000	0.003894	0.000353
3.080000	0.002936	0.000306
3.160000	0.003159	0.000318
3.240000	0.002457	0.000280
3.320000	0.002872	0.000303
3.400000	0.002362	0.000275
3.480000	0.002457	0.000280
3.560000	0.002266	0.000269
3.640000	0.002074	0.000257
3.720000	0.001340	0.000207
3.800000	0.001883	0.000245
3.880000	0.001723	0.000235
3.960000	0.001915	0.000247
4.040000	0.002042	0.000255
4.120000	0.001532	0.000221
4.200000	0.001308	0.000204
4.280000	0.001468	0.000216
4.360000	0.001277	0.000202
4.440000	0.001691	0.000232
4.520000	0.000989	0.000178
4.600000	0.001149	0.000191
4.680000	0.000670	0.000146
4.760000	0.001404	0.000212
4.840000	0.001117	0.000189
4.920000	0.000862	0.000166
5.000000	0.000989	0.000178
5.080000	0.000894	0.000169
5.160000	0.000638	0.000143
5.240000	0.000862	0.000166
5.320000	0.000798	0.000160
5.400000	0.000702	0.000150
5.480000	0.000989	0.000178
5.560000	0.000798	0.000160
5.640000	0.000638	0.000143
5.720000	0.000670	0.000146
5.800000	0.000766	0.000156
5.880000	0.000574	0.000135
5.960000	0.000734	0.000153
6.040000	0.000766	0.000156
6.120000	0.000957	0.000175
6.200000	0.000894	0.000169
6.280000	0.000606	0.000139
6.360000	0.000894	0.000169
6.440000	0.000606	0.000139
6.520000	0.000638	0.000143
6.600000	0.000511	0.000128
6.680000	0.000447	0.000119
6.760000	0.000702	0.000150
6.840000	0.000798	0.000160
6.920000	0.000479	0.000124
7.000000	0.000606	0.000139
7.080000	0.000766	0.000156
7.160000	0.000734	0.000153
7.240000	0.000670	0.000146
7.320000	0.000574	0.000135
7.400000	0.000766	0.000156
7.480000	0.000287	0.000096
7.560000	0.000734	0.000153
7.640000	0.000447	0.000119
7.720000	0.000543	0.000132
7.800000	0.000638	0.000143
7.880000	0.000862	0.000166
7.960000	0.000415	0.000115
8.040000	0.000415	0.000115
8.120000	0.000638	0.000143
8.200000	0.000511	0.000128
8.280000	0.000670	0.000146
8.360000	0.000574	0.000135
8.440000	0.000543	0.000132
8.520000	0.000383	0.000111
8.600000	0.000574	0.000135
8.680000	0.000511	0.000128
8.760000	0.000511	0.000128
