Figure 8-1
--------------------------------------------------------------------
14.5 GeV, Au+Au, 30-40% centrality, like-sign pions, experimental data, 0.2<p_{T}<0.6 GeV/c
-0.69<=dy<-0.63 	   R2=-0.00237755  eR2(stat)=0.000461352  eR2(syst)=0.00015619
-0.63<=dy<-0.57 	   R2=-0.0019429  eR2(stat)=0.000397553  eR2(syst)=0.000236633
-0.57<=dy<-0.51 	   R2=-0.00165246  eR2(stat)=0.000353828  eR2(syst)=0.000203655
-0.51<=dy<-0.45 	   R2=-0.00162074  eR2(stat)=0.000321781  eR2(syst)=9.82602e-05
-0.45<=dy<-0.39 	   R2=-0.0012081  eR2(stat)=0.0002972  eR2(syst)=0.000117622
-0.39<=dy<-0.33 	   R2=-0.000408427  eR2(stat)=0.00027764  eR2(syst)=0.000155203
-0.33<=dy<-0.27 	   R2=-0.000137377  eR2(stat)=0.000261396  eR2(syst)=9.1502e-05
-0.27<=dy<-0.21 	   R2=0.000622327  eR2(stat)=0.000247857  eR2(syst)=0.000127174
-0.21<=dy<-0.15 	   R2=0.000477543  eR2(stat)=0.000236294  eR2(syst)=0.000147141
-0.15<=dy<-0.09 	   R2=0.0014941  eR2(stat)=0.00022652  eR2(syst)=6.63954e-05
-0.09<=dy<-0.03 	   R2=0.00170625  eR2(stat)=0.000217961  eR2(syst)=0.000285898
-0.03<=dy<0.03 	   R2=0.00263786  eR2(stat)=0.000210584  eR2(syst)=0.000283302
0.03<=dy<0.09 	   R2=0.00190972  eR2(stat)=0.000217992  eR2(syst)=0.000214599
0.09<=dy<0.15 	   R2=0.00119917  eR2(stat)=0.000226505  eR2(syst)=0.000175061
0.15<=dy<0.21 	   R2=0.000869379  eR2(stat)=0.000236391  eR2(syst)=4.95099e-05
0.21<=dy<0.27 	   R2=0.000200877  eR2(stat)=0.000247867  eR2(syst)=0.000158518
0.27<=dy<0.33 	   R2=-0.000373452  eR2(stat)=0.000261495  eR2(syst)=0.000168722
0.33<=dy<0.39 	   R2=-0.000357045  eR2(stat)=0.000277832  eR2(syst)=0.000124395
0.39<=dy<0.45 	   R2=-0.000937736  eR2(stat)=0.000297535  eR2(syst)=0.000219171
0.45<=dy<0.51 	   R2=-0.00159704  eR2(stat)=0.000322066  eR2(syst)=5.46733e-05
