Figure 2-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign protons
0.84<=dy<0.92 	 -65<=dphi<-55 	 R2=-0.0314767
0.92<=dy<1 	 -65<=dphi<-55 	 R2=0.0131721
1<=dy<1.08 	 -65<=dphi<-55 	 R2=0.033205
1.08<=dy<1.16 	 -65<=dphi<-55 	 R2=-0.0200476
-1.16<=dy<-1.08 	 -55<=dphi<-45 	 R2=0.0236992
-1.08<=dy<-1 	 -55<=dphi<-45 	 R2=-0.0145951
-1<=dy<-0.92 	 -55<=dphi<-45 	 R2=-0.00260718
-0.92<=dy<-0.84 	 -55<=dphi<-45 	 R2=-0.00436718
-0.84<=dy<-0.76 	 -55<=dphi<-45 	 R2=-0.0240624
-0.76<=dy<-0.68 	 -55<=dphi<-45 	 R2=0.0145308
-0.68<=dy<-0.6 	 -55<=dphi<-45 	 R2=0.0046913
-0.6<=dy<-0.52 	 -55<=dphi<-45 	 R2=-0.0276804
-0.52<=dy<-0.44 	 -55<=dphi<-45 	 R2=-0.0208067
-0.44<=dy<-0.36 	 -55<=dphi<-45 	 R2=-0.0166443
-0.36<=dy<-0.28 	 -55<=dphi<-45 	 R2=-0.00223601
-0.28<=dy<-0.2 	 -55<=dphi<-45 	 R2=-0.015994
-0.2<=dy<-0.12 	 -55<=dphi<-45 	 R2=-0.00792817
-0.12<=dy<-0.04 	 -55<=dphi<-45 	 R2=-0.0170781
-0.04<=dy<0.04 	 -55<=dphi<-45 	 R2=-0.0214376
0.04<=dy<0.12 	 -55<=dphi<-45 	 R2=-0.00976176
0.12<=dy<0.2 	 -55<=dphi<-45 	 R2=-0.00904618
0.2<=dy<0.28 	 -55<=dphi<-45 	 R2=-0.00871909
0.28<=dy<0.36 	 -55<=dphi<-45 	 R2=-0.000691234
0.36<=dy<0.44 	 -55<=dphi<-45 	 R2=-0.0152118
0.44<=dy<0.52 	 -55<=dphi<-45 	 R2=-0.0214032
0.52<=dy<0.6 	 -55<=dphi<-45 	 R2=0.0183191
0.6<=dy<0.68 	 -55<=dphi<-45 	 R2=-0.0087154
0.68<=dy<0.76 	 -55<=dphi<-45 	 R2=0.00472649
0.76<=dy<0.84 	 -55<=dphi<-45 	 R2=0.0060189
0.84<=dy<0.92 	 -55<=dphi<-45 	 R2=0.0136836
0.92<=dy<1 	 -55<=dphi<-45 	 R2=-3.21225e-05
1<=dy<1.08 	 -55<=dphi<-45 	 R2=0.0133938
1.08<=dy<1.16 	 -55<=dphi<-45 	 R2=-0.0794171
-1.16<=dy<-1.08 	 -45<=dphi<-35 	 R2=0.0198411
