Figure 3-1
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, like-sign kaons
-0.28<=dy<-0.2 	 -45<=dphi<-35 	 R2=-0.00103309
-0.2<=dy<-0.12 	 -45<=dphi<-35 	 R2=-0.00595614
-0.12<=dy<-0.04 	 -45<=dphi<-35 	 R2=-0.00327983
-0.04<=dy<0.04 	 -45<=dphi<-35 	 R2=-0.00164648
0.04<=dy<0.12 	 -45<=dphi<-35 	 R2=-0.00470069
0.12<=dy<0.2 	 -45<=dphi<-35 	 R2=-0.00110111
0.2<=dy<0.28 	 -45<=dphi<-35 	 R2=-0.00305863
0.28<=dy<0.36 	 -45<=dphi<-35 	 R2=0.00247329
0.36<=dy<0.44 	 -45<=dphi<-35 	 R2=-0.000714205
0.44<=dy<0.52 	 -45<=dphi<-35 	 R2=0.00151652
0.52<=dy<0.6 	 -45<=dphi<-35 	 R2=0.00317258
0.6<=dy<0.68 	 -45<=dphi<-35 	 R2=-8.14786e-05
0.68<=dy<0.76 	 -45<=dphi<-35 	 R2=0.00871505
-0.76<=dy<-0.68 	 -35<=dphi<-25 	 R2=0.0116968
-0.68<=dy<-0.6 	 -35<=dphi<-25 	 R2=0.0055331
-0.6<=dy<-0.52 	 -35<=dphi<-25 	 R2=0.0064937
-0.52<=dy<-0.44 	 -35<=dphi<-25 	 R2=0.00668454
-0.44<=dy<-0.36 	 -35<=dphi<-25 	 R2=0.00851758
-0.36<=dy<-0.28 	 -35<=dphi<-25 	 R2=0.0035592
-0.28<=dy<-0.2 	 -35<=dphi<-25 	 R2=0.00235419
-0.2<=dy<-0.12 	 -35<=dphi<-25 	 R2=-0.000913676
-0.12<=dy<-0.04 	 -35<=dphi<-25 	 R2=0.00152145
-0.04<=dy<0.04 	 -35<=dphi<-25 	 R2=-0.00184616
0.04<=dy<0.12 	 -35<=dphi<-25 	 R2=0.00152145
0.12<=dy<0.2 	 -35<=dphi<-25 	 R2=0.00189178
0.2<=dy<0.28 	 -35<=dphi<-25 	 R2=-0.00171214
0.28<=dy<0.36 	 -35<=dphi<-25 	 R2=-0.00156608
0.36<=dy<0.44 	 -35<=dphi<-25 	 R2=0.004411
0.44<=dy<0.52 	 -35<=dphi<-25 	 R2=0.0124164
0.52<=dy<0.6 	 -35<=dphi<-25 	 R2=0.00194988
0.6<=dy<0.68 	 -35<=dphi<-25 	 R2=0.00236155
0.68<=dy<0.76 	 -35<=dphi<-25 	 R2=-0.00542143
-0.76<=dy<-0.68 	 -25<=dphi<-15 	 R2=0.0293687
-0.68<=dy<-0.6 	 -25<=dphi<-15 	 R2=0.00948186
-0.6<=dy<-0.52 	 -25<=dphi<-15 	 R2=0.00359948
-0.52<=dy<-0.44 	 -25<=dphi<-15 	 R2=0.0064303
-0.44<=dy<-0.36 	 -25<=dphi<-15 	 R2=0.00613648
-0.36<=dy<-0.28 	 -25<=dphi<-15 	 R2=0.00500176
-0.28<=dy<-0.2 	 -25<=dphi<-15 	 R2=0.00274338
-0.2<=dy<-0.12 	 -25<=dphi<-15 	 R2=-0.00251541
-0.12<=dy<-0.04 	 -25<=dphi<-15 	 R2=2.43955e-05
-0.04<=dy<0.04 	 -25<=dphi<-15 	 R2=0.000492794
0.04<=dy<0.12 	 -25<=dphi<-15 	 R2=2.43955e-05
0.12<=dy<0.2 	 -25<=dphi<-15 	 R2=0.00016196
0.2<=dy<0.28 	 -25<=dphi<-15 	 R2=0.00453335
0.28<=dy<0.36 	 -25<=dphi<-15 	 R2=0.0056148
0.36<=dy<0.44 	 -25<=dphi<-15 	 R2=0.0025958
0.44<=dy<0.52 	 -25<=dphi<-15 	 R2=0.00595283
0.52<=dy<0.6 	 -25<=dphi<-15 	 R2=0.00785556
0.6<=dy<0.68 	 -25<=dphi<-15 	 R2=0.00550305
0.68<=dy<0.76 	 -25<=dphi<-15 	 R2=0.0176347
-0.76<=dy<-0.68 	 -15<=dphi<-5 	 R2=0.0187563
-0.68<=dy<-0.6 	 -15<=dphi<-5 	 R2=0.0219051
-0.6<=dy<-0.52 	 -15<=dphi<-5 	 R2=0.0121934
-0.52<=dy<-0.44 	 -15<=dphi<-5 	 R2=0.00319611
-0.44<=dy<-0.36 	 -15<=dphi<-5 	 R2=0.0105799
-0.36<=dy<-0.28 	 -15<=dphi<-5 	 R2=0.00535663
-0.28<=dy<-0.2 	 -15<=dphi<-5 	 R2=0.00191195
-0.2<=dy<-0.12 	 -15<=dphi<-5 	 R2=8.33344e-05
