Figure 1-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign pions
-0.75<=dy<-0.69 	 -55<=dphi<-45 	 R2=-0.0127278
-0.69<=dy<-0.63 	 -55<=dphi<-45 	 R2=-0.00282479
-0.63<=dy<-0.57 	 -55<=dphi<-45 	 R2=-0.0104136
-0.57<=dy<-0.51 	 -55<=dphi<-45 	 R2=-0.00762249
-0.51<=dy<-0.45 	 -55<=dphi<-45 	 R2=-0.00643094
-0.45<=dy<-0.39 	 -55<=dphi<-45 	 R2=-0.0123546
-0.39<=dy<-0.33 	 -55<=dphi<-45 	 R2=-0.00781671
-0.33<=dy<-0.27 	 -55<=dphi<-45 	 R2=-0.00515951
-0.27<=dy<-0.21 	 -55<=dphi<-45 	 R2=-0.00332421
-0.21<=dy<-0.15 	 -55<=dphi<-45 	 R2=-0.00800138
-0.15<=dy<-0.09 	 -55<=dphi<-45 	 R2=-0.00363575
-0.09<=dy<-0.03 	 -55<=dphi<-45 	 R2=-0.00753421
-0.03<=dy<0.03 	 -55<=dphi<-45 	 R2=-0.00410393
0.03<=dy<0.09 	 -55<=dphi<-45 	 R2=-0.00505451
0.09<=dy<0.15 	 -55<=dphi<-45 	 R2=-0.00906684
0.15<=dy<0.21 	 -55<=dphi<-45 	 R2=-0.00346892
0.21<=dy<0.27 	 -55<=dphi<-45 	 R2=-0.0109904
0.27<=dy<0.33 	 -55<=dphi<-45 	 R2=-0.0111519
0.33<=dy<0.39 	 -55<=dphi<-45 	 R2=-0.00897108
0.39<=dy<0.45 	 -55<=dphi<-45 	 R2=-0.0166096
0.45<=dy<0.51 	 -55<=dphi<-45 	 R2=-0.00847167
0.51<=dy<0.57 	 -55<=dphi<-45 	 R2=-0.00813568
0.57<=dy<0.63 	 -55<=dphi<-45 	 R2=-0.00978069
0.63<=dy<0.69 	 -55<=dphi<-45 	 R2=-0.0183349
0.69<=dy<0.75 	 -55<=dphi<-45 	 R2=-0.0115313
0.75<=dy<0.81 	 -55<=dphi<-45 	 R2=-0.00723616
-0.81<=dy<-0.75 	 -45<=dphi<-35 	 R2=-0.00840518
-0.75<=dy<-0.69 	 -45<=dphi<-35 	 R2=-0.0190731
-0.69<=dy<-0.63 	 -45<=dphi<-35 	 R2=-0.0142425
-0.63<=dy<-0.57 	 -45<=dphi<-35 	 R2=-0.00934971
-0.57<=dy<-0.51 	 -45<=dphi<-35 	 R2=-0.00600077
-0.51<=dy<-0.45 	 -45<=dphi<-35 	 R2=-0.0147239
-0.45<=dy<-0.39 	 -45<=dphi<-35 	 R2=-0.00606544
-0.39<=dy<-0.33 	 -45<=dphi<-35 	 R2=0.00255032
-0.33<=dy<-0.27 	 -45<=dphi<-35 	 R2=-0.0082422
-0.27<=dy<-0.21 	 -45<=dphi<-35 	 R2=-0.00547274
-0.21<=dy<-0.15 	 -45<=dphi<-35 	 R2=-0.00469599
-0.15<=dy<-0.09 	 -45<=dphi<-35 	 R2=-0.00194119
-0.09<=dy<-0.03 	 -45<=dphi<-35 	 R2=-0.00837337
-0.03<=dy<0.03 	 -45<=dphi<-35 	 R2=-0.00665446
0.03<=dy<0.09 	 -45<=dphi<-35 	 R2=-0.00589867
0.09<=dy<0.15 	 -45<=dphi<-35 	 R2=-0.00244976
0.15<=dy<0.21 	 -45<=dphi<-35 	 R2=-0.00945549
0.21<=dy<0.27 	 -45<=dphi<-35 	 R2=-0.00800116
0.27<=dy<0.33 	 -45<=dphi<-35 	 R2=0.00567574
0.33<=dy<0.39 	 -45<=dphi<-35 	 R2=-0.00655869
0.39<=dy<0.45 	 -45<=dphi<-35 	 R2=-0.0106026
0.45<=dy<0.51 	 -45<=dphi<-35 	 R2=-0.0117929
0.51<=dy<0.57 	 -45<=dphi<-35 	 R2=-0.00714075
0.57<=dy<0.63 	 -45<=dphi<-35 	 R2=-0.00655761
0.63<=dy<0.69 	 -45<=dphi<-35 	 R2=-0.00784195
0.69<=dy<0.75 	 -45<=dphi<-35 	 R2=-0.0211965
0.75<=dy<0.81 	 -45<=dphi<-35 	 R2=-0.019707
-0.81<=dy<-0.75 	 -35<=dphi<-25 	 R2=-0.000236591
-0.75<=dy<-0.69 	 -35<=dphi<-25 	 R2=-0.00540355
-0.69<=dy<-0.63 	 -35<=dphi<-25 	 R2=-0.0146334
-0.63<=dy<-0.57 	 -35<=dphi<-25 	 R2=-0.00395336
-0.57<=dy<-0.51 	 -35<=dphi<-25 	 R2=-0.0075987
-0.51<=dy<-0.45 	 -35<=dphi<-25 	 R2=-0.00528983
-0.45<=dy<-0.39 	 -35<=dphi<-25 	 R2=-0.00234074
-0.39<=dy<-0.33 	 -35<=dphi<-25 	 R2=-0.00899607
-0.33<=dy<-0.27 	 -35<=dphi<-25 	 R2=-0.00941949
-0.27<=dy<-0.21 	 -35<=dphi<-25 	 R2=-0.00981304
-0.21<=dy<-0.15 	 -35<=dphi<-25 	 R2=-0.00250725
-0.15<=dy<-0.09 	 -35<=dphi<-25 	 R2=-0.00333208
-0.09<=dy<-0.03 	 -35<=dphi<-25 	 R2=-0.00665263
-0.03<=dy<0.03 	 -35<=dphi<-25 	 R2=-0.00801385
0.03<=dy<0.09 	 -35<=dphi<-25 	 R2=-0.00665263
0.09<=dy<0.15 	 -35<=dphi<-25 	 R2=-0.0066636
0.15<=dy<0.21 	 -35<=dphi<-25 	 R2=0.00179717
0.21<=dy<0.27 	 -35<=dphi<-25 	 R2=-0.0121573
0.27<=dy<0.33 	 -35<=dphi<-25 	 R2=-0.00419221
0.33<=dy<0.39 	 -35<=dphi<-25 	 R2=0.000253071
0.39<=dy<0.45 	 -35<=dphi<-25 	 R2=-0.00658239
0.45<=dy<0.51 	 -35<=dphi<-25 	 R2=-0.00222086
0.51<=dy<0.57 	 -35<=dphi<-25 	 R2=-0.0101136
0.57<=dy<0.63 	 -35<=dphi<-25 	 R2=-0.00314497
0.63<=dy<0.69 	 -35<=dphi<-25 	 R2=-0.0116371
0.69<=dy<0.75 	 -35<=dphi<-25 	 R2=-0.012585
0.75<=dy<0.81 	 -35<=dphi<-25 	 R2=0.00730993
-0.81<=dy<-0.75 	 -25<=dphi<-15 	 R2=-0.00357054
-0.75<=dy<-0.69 	 -25<=dphi<-15 	 R2=0.00651575
-0.69<=dy<-0.63 	 -25<=dphi<-15 	 R2=-0.0173543
-0.63<=dy<-0.57 	 -25<=dphi<-15 	 R2=-0.0105841
-0.57<=dy<-0.51 	 -25<=dphi<-15 	 R2=-0.00372528
-0.51<=dy<-0.45 	 -25<=dphi<-15 	 R2=-0.00555755
-0.45<=dy<-0.39 	 -25<=dphi<-15 	 R2=0.00343286
-0.39<=dy<-0.33 	 -25<=dphi<-15 	 R2=-0.00894345
-0.33<=dy<-0.27 	 -25<=dphi<-15 	 R2=-0.00252385
-0.27<=dy<-0.21 	 -25<=dphi<-15 	 R2=0.000667523
-0.21<=dy<-0.15 	 -25<=dphi<-15 	 R2=-8.56698e-05
-0.15<=dy<-0.09 	 -25<=dphi<-15 	 R2=-0.0010933
-0.09<=dy<-0.03 	 -25<=dphi<-15 	 R2=0.00703503
-0.03<=dy<0.03 	 -25<=dphi<-15 	 R2=0.00313145
0.03<=dy<0.09 	 -25<=dphi<-15 	 R2=0.00703503
0.09<=dy<0.15 	 -25<=dphi<-15 	 R2=0.00373729
0.15<=dy<0.21 	 -25<=dphi<-15 	 R2=-0.000714019
0.21<=dy<0.27 	 -25<=dphi<-15 	 R2=0.00224645
0.27<=dy<0.33 	 -25<=dphi<-15 	 R2=-0.000387967
0.33<=dy<0.39 	 -25<=dphi<-15 	 R2=-0.00723084
0.39<=dy<0.45 	 -25<=dphi<-15 	 R2=-0.00529063
0.45<=dy<0.51 	 -25<=dphi<-15 	 R2=-0.00214845
0.51<=dy<0.57 	 -25<=dphi<-15 	 R2=7.62598e-05
0.57<=dy<0.63 	 -25<=dphi<-15 	 R2=-0.00154749
0.63<=dy<0.69 	 -25<=dphi<-15 	 R2=-0.00363079
0.69<=dy<0.75 	 -25<=dphi<-15 	 R2=-0.0215883
0.75<=dy<0.81 	 -25<=dphi<-15 	 R2=-0.0184317
-0.81<=dy<-0.75 	 -15<=dphi<-5 	 R2=0.0211497
-0.75<=dy<-0.69 	 -15<=dphi<-5 	 R2=-0.00341109
-0.69<=dy<-0.63 	 -15<=dphi<-5 	 R2=-0.006017
-0.63<=dy<-0.57 	 -15<=dphi<-5 	 R2=-0.00174212
-0.57<=dy<-0.51 	 -15<=dphi<-5 	 R2=0.00651382
-0.51<=dy<-0.45 	 -15<=dphi<-5 	 R2=0.000157148
-0.45<=dy<-0.39 	 -15<=dphi<-5 	 R2=0.000537819
-0.39<=dy<-0.33 	 -15<=dphi<-5 	 R2=-0.000989638
-0.33<=dy<-0.27 	 -15<=dphi<-5 	 R2=0.00937784
-0.27<=dy<-0.21 	 -15<=dphi<-5 	 R2=0.0122465
-0.21<=dy<-0.15 	 -15<=dphi<-5 	 R2=0.011914
-0.15<=dy<-0.09 	 -15<=dphi<-5 	 R2=0.0253147
-0.09<=dy<-0.03 	 -15<=dphi<-5 	 R2=0.0409474
-0.03<=dy<0.03 	 -15<=dphi<-5 	 R2=0.0441272
0.03<=dy<0.09 	 -15<=dphi<-5 	 R2=0.0409474
0.09<=dy<0.15 	 -15<=dphi<-5 	 R2=0.0262243
0.15<=dy<0.21 	 -15<=dphi<-5 	 R2=0.0189987
0.21<=dy<0.27 	 -15<=dphi<-5 	 R2=0.00767487
0.27<=dy<0.33 	 -15<=dphi<-5 	 R2=0.00699995
0.33<=dy<0.39 	 -15<=dphi<-5 	 R2=0.00392266
0.39<=dy<0.45 	 -15<=dphi<-5 	 R2=0.00500115
0.45<=dy<0.51 	 -15<=dphi<-5 	 R2=-0.00725417
0.51<=dy<0.57 	 -15<=dphi<-5 	 R2=-0.00193516
0.57<=dy<0.63 	 -15<=dphi<-5 	 R2=-0.0117228
0.63<=dy<0.69 	 -15<=dphi<-5 	 R2=-0.00205299
0.69<=dy<0.75 	 -15<=dphi<-5 	 R2=-0.00511569
0.75<=dy<0.81 	 -15<=dphi<-5 	 R2=0.000689189
-0.81<=dy<-0.75 	 -5<=dphi<5 	 R2=0.00102404
-0.75<=dy<-0.69 	 -5<=dphi<5 	 R2=-0.00220832
-0.69<=dy<-0.63 	 -5<=dphi<5 	 R2=-0.00382255
-0.63<=dy<-0.57 	 -5<=dphi<5 	 R2=-0.00208389
-0.57<=dy<-0.51 	 -5<=dphi<5 	 R2=-0.00219504
-0.51<=dy<-0.45 	 -5<=dphi<5 	 R2=-0.00345215
-0.45<=dy<-0.39 	 -5<=dphi<5 	 R2=0.0011564
-0.39<=dy<-0.33 	 -5<=dphi<5 	 R2=0.00844842
-0.33<=dy<-0.27 	 -5<=dphi<5 	 R2=0.00314027
-0.27<=dy<-0.21 	 -5<=dphi<5 	 R2=0.0151177
-0.21<=dy<-0.15 	 -5<=dphi<5 	 R2=0.0356965
-0.15<=dy<-0.09 	 -5<=dphi<5 	 R2=0.0531737
-0.09<=dy<-0.03 	 -5<=dphi<5 	 R2=0.0562694
-0.03<=dy<0.03 	 -5<=dphi<5 	 R2=0.0646665
0.03<=dy<0.09 	 -5<=dphi<5 	 R2=0.0562694
0.09<=dy<0.15 	 -5<=dphi<5 	 R2=0.0531737
0.15<=dy<0.21 	 -5<=dphi<5 	 R2=0.0356965
0.21<=dy<0.27 	 -5<=dphi<5 	 R2=0.0151177
0.27<=dy<0.33 	 -5<=dphi<5 	 R2=0.00314027
0.33<=dy<0.39 	 -5<=dphi<5 	 R2=0.00844842
0.39<=dy<0.45 	 -5<=dphi<5 	 R2=0.0011564
0.45<=dy<0.51 	 -5<=dphi<5 	 R2=-0.00345215
0.51<=dy<0.57 	 -5<=dphi<5 	 R2=-0.00219504
0.57<=dy<0.63 	 -5<=dphi<5 	 R2=-0.00208389
0.63<=dy<0.69 	 -5<=dphi<5 	 R2=-0.00382255
0.69<=dy<0.75 	 -5<=dphi<5 	 R2=-0.00220832
0.75<=dy<0.81 	 -5<=dphi<5 	 R2=0.00102404
-0.81<=dy<-0.75 	 5<=dphi<15 	 R2=0.000689189
-0.75<=dy<-0.69 	 5<=dphi<15 	 R2=-0.00511569
-0.69<=dy<-0.63 	 5<=dphi<15 	 R2=-0.00205299
-0.63<=dy<-0.57 	 5<=dphi<15 	 R2=-0.0117228
-0.57<=dy<-0.51 	 5<=dphi<15 	 R2=-0.00193516
-0.51<=dy<-0.45 	 5<=dphi<15 	 R2=-0.00725417
-0.45<=dy<-0.39 	 5<=dphi<15 	 R2=0.00500115
-0.39<=dy<-0.33 	 5<=dphi<15 	 R2=0.00392266
-0.33<=dy<-0.27 	 5<=dphi<15 	 R2=0.00699995
-0.27<=dy<-0.21 	 5<=dphi<15 	 R2=0.00767487
-0.21<=dy<-0.15 	 5<=dphi<15 	 R2=0.0189987
-0.15<=dy<-0.09 	 5<=dphi<15 	 R2=0.0262243
-0.09<=dy<-0.03 	 5<=dphi<15 	 R2=0.0409474
-0.03<=dy<0.03 	 5<=dphi<15 	 R2=0.0441272
0.03<=dy<0.09 	 5<=dphi<15 	 R2=0.0409474
0.09<=dy<0.15 	 5<=dphi<15 	 R2=0.0253147
0.15<=dy<0.21 	 5<=dphi<15 	 R2=0.011914
0.21<=dy<0.27 	 5<=dphi<15 	 R2=0.0122465
0.27<=dy<0.33 	 5<=dphi<15 	 R2=0.00937784
0.33<=dy<0.39 	 5<=dphi<15 	 R2=-0.000989638
0.39<=dy<0.45 	 5<=dphi<15 	 R2=0.000537819
0.45<=dy<0.51 	 5<=dphi<15 	 R2=0.000157148
0.51<=dy<0.57 	 5<=dphi<15 	 R2=0.00651382
0.57<=dy<0.63 	 5<=dphi<15 	 R2=-0.00174212
0.63<=dy<0.69 	 5<=dphi<15 	 R2=-0.006017
0.69<=dy<0.75 	 5<=dphi<15 	 R2=-0.00341109
0.75<=dy<0.81 	 5<=dphi<15 	 R2=0.0211497
-0.81<=dy<-0.75 	 15<=dphi<25 	 R2=-0.0184317
-0.75<=dy<-0.69 	 15<=dphi<25 	 R2=-0.0215883
-0.69<=dy<-0.63 	 15<=dphi<25 	 R2=-0.00363079
-0.63<=dy<-0.57 	 15<=dphi<25 	 R2=-0.00154749
-0.57<=dy<-0.51 	 15<=dphi<25 	 R2=7.62598e-05
-0.51<=dy<-0.45 	 15<=dphi<25 	 R2=-0.00214845
-0.45<=dy<-0.39 	 15<=dphi<25 	 R2=-0.00529063
-0.39<=dy<-0.33 	 15<=dphi<25 	 R2=-0.00723084
-0.33<=dy<-0.27 	 15<=dphi<25 	 R2=-0.000387967
-0.27<=dy<-0.21 	 15<=dphi<25 	 R2=0.00224645
-0.21<=dy<-0.15 	 15<=dphi<25 	 R2=-0.000714019
-0.15<=dy<-0.09 	 15<=dphi<25 	 R2=0.00373729
-0.09<=dy<-0.03 	 15<=dphi<25 	 R2=0.00703503
-0.03<=dy<0.03 	 15<=dphi<25 	 R2=0.00313145
0.03<=dy<0.09 	 15<=dphi<25 	 R2=0.00703503
0.09<=dy<0.15 	 15<=dphi<25 	 R2=-0.0010933
0.15<=dy<0.21 	 15<=dphi<25 	 R2=-8.56698e-05
0.21<=dy<0.27 	 15<=dphi<25 	 R2=0.000667523
0.27<=dy<0.33 	 15<=dphi<25 	 R2=-0.00252385
0.33<=dy<0.39 	 15<=dphi<25 	 R2=-0.00894345
