Figure 7-1
--------------------------------------------------------------------
14.5 GeV, Au+Au, 0-5% centrality, like-sign pions, experimental data
-0.63<=dy<-0.57 	   R2=-0.00752419  eR2(stat)=0.00115054  eR2(syst)=0.000359764
-0.57<=dy<-0.51 	   R2=-0.00585981  eR2(stat)=0.00102661  eR2(syst)=0.000466609
-0.51<=dy<-0.45 	   R2=-0.00225941  eR2(stat)=0.000938114  eR2(syst)=0.000523441
-0.45<=dy<-0.39 	   R2=-0.00405121  eR2(stat)=0.00086755  eR2(syst)=0.000186919
-0.39<=dy<-0.33 	   R2=-0.00294585  eR2(stat)=0.000811884  eR2(syst)=0.000172637
-0.33<=dy<-0.27 	   R2=-0.00151552  eR2(stat)=0.000765771  eR2(syst)=0.000430959
-0.27<=dy<-0.21 	   R2=0.000410908  eR2(stat)=0.000726374  eR2(syst)=0.000235544
-0.21<=dy<-0.15 	   R2=0.00246822  eR2(stat)=0.000692748  eR2(syst)=0.000287869
-0.15<=dy<-0.09 	   R2=0.0057874  eR2(stat)=0.000664347  eR2(syst)=0.00014142
-0.09<=dy<-0.03 	   R2=0.0061704  eR2(stat)=0.000634223  eR2(syst)=0.00111998
-0.03<=dy<0.03 	   R2=0.0072629  eR2(stat)=0.000614775  eR2(syst)=0.000580404
0.03<=dy<0.09 	   R2=0.0061704  eR2(stat)=0.000634223  eR2(syst)=0.00111998
0.09<=dy<0.15 	   R2=0.0057874  eR2(stat)=0.000664347  eR2(syst)=0.00014142
0.15<=dy<0.21 	   R2=0.00246822  eR2(stat)=0.000692748  eR2(syst)=0.000287869
0.21<=dy<0.27 	   R2=0.000410908  eR2(stat)=0.000726374  eR2(syst)=0.000235544
0.27<=dy<0.33 	   R2=-0.00151552  eR2(stat)=0.000765771  eR2(syst)=0.000430959
0.33<=dy<0.39 	   R2=-0.00294585  eR2(stat)=0.000811884  eR2(syst)=0.000172637
0.39<=dy<0.45 	   R2=-0.00405121  eR2(stat)=0.00086755  eR2(syst)=0.000186919
0.45<=dy<0.51 	   R2=-0.00225941  eR2(stat)=0.000938114  eR2(syst)=0.000523441
0.51<=dy<0.57 	   R2=-0.00585981  eR2(stat)=0.00102661  eR2(syst)=0.000466609
0.57<=dy<0.63 	   R2=-0.00752419  eR2(stat)=0.00115054  eR2(syst)=0.000359764
0.63<=dy<0.69 	   R2=-0.00831656  eR2(stat)=0.00133396  eR2(syst)=0.000735334
0.69<=dy<0.75 	   R2=-0.00836106  eR2(stat)=0.00164253  eR2(syst)=0.000709012
0.75<=dy<0.81 	   R2=-0.00574696  eR2(stat)=0.00234283  eR2(syst)=0.000565231
--------------------------------------------------------------------
14.5 GeV, Au+Au, 0-5% centrality, unlike-sign pions, experimental data
-0.81<=dy<-0.75 	   R2=-0.000730452  eR2(stat)=0.000250902  eR2(syst)=0.000118001
-0.75<=dy<-0.69 	   R2=-0.000238087  eR2(stat)=0.000176179  eR2(syst)=0.000152451
-0.69<=dy<-0.63 	   R2=-0.000185395  eR2(stat)=0.000142981  eR2(syst)=0.000120348
-0.63<=dy<-0.57 	   R2=-0.000144716  eR2(stat)=0.00012321  eR2(syst)=5.57335e-05
-0.57<=dy<-0.51 	   R2=-0.000114319  eR2(stat)=0.000109815  eR2(syst)=6.5944e-05
-0.51<=dy<-0.45 	   R2=0.000169099  eR2(stat)=0.000100182  eR2(syst)=0.000119801
-0.45<=dy<-0.39 	   R2=-8.20167e-05  eR2(stat)=9.27282e-05  eR2(syst)=0.000107705
-0.39<=dy<-0.33 	   R2=0.000228346  eR2(stat)=8.67403e-05  eR2(syst)=8.47508e-05
-0.33<=dy<-0.27 	   R2=0.00020998  eR2(stat)=8.17409e-05  eR2(syst)=9.20621e-05
-0.27<=dy<-0.21 	   R2=0.000210367  eR2(stat)=7.74472e-05  eR2(syst)=0.000100818
-0.21<=dy<-0.15 	   R2=0.000360316  eR2(stat)=7.37827e-05  eR2(syst)=0.000104387
-0.15<=dy<-0.09 	   R2=0.000591095  eR2(stat)=7.06442e-05  eR2(syst)=0.000117125
-0.09<=dy<-0.03 	   R2=0.000850309  eR2(stat)=6.79211e-05  eR2(syst)=0.000140049
-0.03<=dy<0.03 	   R2=0.00144687  eR2(stat)=6.55644e-05  eR2(syst)=0.00018189
0.03<=dy<0.09 	   R2=0.00110432  eR2(stat)=6.79252e-05  eR2(syst)=0.000180481
0.09<=dy<0.15 	   R2=0.000624593  eR2(stat)=7.06243e-05  eR2(syst)=0.000110128
0.15<=dy<0.21 	   R2=0.000275398  eR2(stat)=7.37501e-05  eR2(syst)=7.46798e-05
0.21<=dy<0.27 	   R2=0.000275728  eR2(stat)=7.74105e-05  eR2(syst)=5.85724e-05
0.27<=dy<0.33 	   R2=0.00029432  eR2(stat)=8.16931e-05  eR2(syst)=9.53172e-05
0.33<=dy<0.39 	   R2=3.67631e-05  eR2(stat)=8.66607e-05  eR2(syst)=4.80661e-05
0.39<=dy<0.45 	   R2=5.4124e-05  eR2(stat)=9.26335e-05  eR2(syst)=9.04295e-05
0.45<=dy<0.51 	   R2=3.76015e-05  eR2(stat)=0.000100066  eR2(syst)=9.68866e-05
0.51<=dy<0.57 	   R2=3.05145e-05  eR2(stat)=0.0001097  eR2(syst)=4.48417e-05
0.57<=dy<0.63 	   R2=7.28279e-06  eR2(stat)=0.000123064  eR2(syst)=9.50931e-05
0.63<=dy<0.69 	   R2=-2.63072e-05  eR2(stat)=0.000142782  eR2(syst)=0.000146091
0.69<=dy<0.75 	   R2=-0.000111629  eR2(stat)=0.000175864  eR2(syst)=0.000116061
0.75<=dy<0.81 	   R2=-0.000145324  eR2(stat)=0.000250749  eR2(syst)=0.000159737
--------------------------------------------------------------------
14.5 GeV, Au+Au, 30-40% centrality, unlike-sign pions, experimental data
-0.81<=dy<-0.75 	   R2=-0.00143817  eR2(stat)=0.00065977  eR2(syst)=0.000178347
-0.75<=dy<-0.69 	   R2=-0.00288278  eR2(stat)=0.000463035  eR2(syst)=0.000291551
-0.69<=dy<-0.63 	   R2=-0.00171908  eR2(stat)=0.000376295  eR2(syst)=0.000158011
-0.63<=dy<-0.57 	   R2=-0.00131374  eR2(stat)=0.00032457  eR2(syst)=0.000169282
-0.57<=dy<-0.51 	   R2=-0.00134683  eR2(stat)=0.000289359  eR2(syst)=0.000168337
-0.51<=dy<-0.45 	   R2=-0.00124602  eR2(stat)=0.000264036  eR2(syst)=9.9721e-05
-0.45<=dy<-0.39 	   R2=-0.000943215  eR2(stat)=0.00024441  eR2(syst)=6.85665e-05
-0.39<=dy<-0.33 	   R2=-0.000260585  eR2(stat)=0.000228707  eR2(syst)=0.000101279
-0.33<=dy<-0.27 	   R2=-0.000124305  eR2(stat)=0.000215619  eR2(syst)=5.44609e-05
-0.27<=dy<-0.21 	   R2=0.00058398  eR2(stat)=0.000204412  eR2(syst)=0.000132969
-0.21<=dy<-0.15 	   R2=0.000517518  eR2(stat)=0.000194732  eR2(syst)=0.000174808
-0.15<=dy<-0.09 	   R2=0.00122546  eR2(stat)=0.000186499  eR2(syst)=6.18256e-05
-0.09<=dy<-0.03 	   R2=0.00187567  eR2(stat)=0.000179339  eR2(syst)=0.000281606
-0.03<=dy<0.03 	   R2=0.00248098  eR2(stat)=0.000173083  eR2(syst)=0.000264793
0.03<=dy<0.09 	   R2=0.00193354  eR2(stat)=0.000179338  eR2(syst)=0.000168244
0.09<=dy<0.15 	   R2=0.00124655  eR2(stat)=0.000186484  eR2(syst)=0.000148364
0.15<=dy<0.21 	   R2=0.000968507  eR2(stat)=0.000194755  eR2(syst)=4.76357e-05
0.21<=dy<0.27 	   R2=0.000346714  eR2(stat)=0.000204343  eR2(syst)=0.000124719
0.27<=dy<0.33 	   R2=-6.01642e-05  eR2(stat)=0.0002156  eR2(syst)=0.000108195
0.33<=dy<0.39 	   R2=-0.000327754  eR2(stat)=0.000228681  eR2(syst)=0.000123019
0.39<=dy<0.45 	   R2=-0.000927512  eR2(stat)=0.000244436  eR2(syst)=0.000160942
0.45<=dy<0.51 	   R2=-0.00117114  eR2(stat)=0.000264015  eR2(syst)=0.000113802
0.51<=dy<0.57 	   R2=-0.000945276  eR2(stat)=0.000289346  eR2(syst)=0.00010821
0.57<=dy<0.63 	   R2=-0.00172347  eR2(stat)=0.000324315  eR2(syst)=0.000184804
0.63<=dy<0.69 	   R2=-0.00171601  eR2(stat)=0.000376149  eR2(syst)=0.000261053
0.69<=dy<0.75 	   R2=-0.00222559  eR2(stat)=0.000462894  eR2(syst)=0.000169646
