Figure 2-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign protons
1<=dy<1.08 	 -65<=dphi<-55 	 R2=-0.334459
1.08<=dy<1.16 	 -65<=dphi<-55 	 R2=0.0537087
-1.16<=dy<-1.08 	 -55<=dphi<-45 	 R2=-0.593707
-1.08<=dy<-1 	 -55<=dphi<-45 	 R2=0.0627575
-1<=dy<-0.92 	 -55<=dphi<-45 	 R2=0.419998
-0.92<=dy<-0.84 	 -55<=dphi<-45 	 R2=0.00586016
-0.84<=dy<-0.76 	 -55<=dphi<-45 	 R2=-0.117895
-0.76<=dy<-0.68 	 -55<=dphi<-45 	 R2=0.180316
-0.68<=dy<-0.6 	 -55<=dphi<-45 	 R2=0.0101768
-0.6<=dy<-0.52 	 -55<=dphi<-45 	 R2=-0.145226
-0.52<=dy<-0.44 	 -55<=dphi<-45 	 R2=0.0719207
-0.44<=dy<-0.36 	 -55<=dphi<-45 	 R2=-0.0289606
-0.36<=dy<-0.28 	 -55<=dphi<-45 	 R2=0.0417261
-0.28<=dy<-0.2 	 -55<=dphi<-45 	 R2=0.011191
-0.2<=dy<-0.12 	 -55<=dphi<-45 	 R2=-0.00271369
-0.12<=dy<-0.04 	 -55<=dphi<-45 	 R2=-0.0617624
-0.04<=dy<0.04 	 -55<=dphi<-45 	 R2=0.0213951
0.04<=dy<0.12 	 -55<=dphi<-45 	 R2=-0.0532519
0.12<=dy<0.2 	 -55<=dphi<-45 	 R2=-0.0408455
0.2<=dy<0.28 	 -55<=dphi<-45 	 R2=-0.00171667
0.28<=dy<0.36 	 -55<=dphi<-45 	 R2=0.0350946
0.36<=dy<0.44 	 -55<=dphi<-45 	 R2=0.128712
0.44<=dy<0.52 	 -55<=dphi<-45 	 R2=0.194292
0.52<=dy<0.6 	 -55<=dphi<-45 	 R2=0.101175
0.6<=dy<0.68 	 -55<=dphi<-45 	 R2=-0.0591793
0.68<=dy<0.76 	 -55<=dphi<-45 	 R2=-0.0861094
0.76<=dy<0.84 	 -55<=dphi<-45 	 R2=-0.207322
0.84<=dy<0.92 	 -55<=dphi<-45 	 R2=0.22275
0.92<=dy<1 	 -55<=dphi<-45 	 R2=-0.306868
1<=dy<1.08 	 -55<=dphi<-45 	 R2=0.269878
1.08<=dy<1.16 	 -55<=dphi<-45 	 R2=-0.850357
-1.16<=dy<-1.08 	 -45<=dphi<-35 	 R2=-0.797819
-1.08<=dy<-1 	 -45<=dphi<-35 	 R2=-0.436542
-1<=dy<-0.92 	 -45<=dphi<-35 	 R2=0.127947
-0.92<=dy<-0.84 	 -45<=dphi<-35 	 R2=0.0477092
-0.84<=dy<-0.76 	 -45<=dphi<-35 	 R2=-0.274215
-0.76<=dy<-0.68 	 -45<=dphi<-35 	 R2=0.0985224
-0.68<=dy<-0.6 	 -45<=dphi<-35 	 R2=0.0634442
-0.6<=dy<-0.52 	 -45<=dphi<-35 	 R2=-0.0344927
-0.52<=dy<-0.44 	 -45<=dphi<-35 	 R2=-0.0386496
-0.44<=dy<-0.36 	 -45<=dphi<-35 	 R2=0.155347
-0.36<=dy<-0.28 	 -45<=dphi<-35 	 R2=0.0986931
-0.28<=dy<-0.2 	 -45<=dphi<-35 	 R2=-0.0441316
-0.2<=dy<-0.12 	 -45<=dphi<-35 	 R2=-0.0382452
-0.12<=dy<-0.04 	 -45<=dphi<-35 	 R2=-0.023479
-0.04<=dy<0.04 	 -45<=dphi<-35 	 R2=-0.0628881
0.04<=dy<0.12 	 -45<=dphi<-35 	 R2=-0.0911064
0.12<=dy<0.2 	 -45<=dphi<-35 	 R2=-0.0560821
0.2<=dy<0.28 	 -45<=dphi<-35 	 R2=-0.014587
0.28<=dy<0.36 	 -45<=dphi<-35 	 R2=0.0596837
0.36<=dy<0.44 	 -45<=dphi<-35 	 R2=0.0845837
0.44<=dy<0.52 	 -45<=dphi<-35 	 R2=-0.204914
0.52<=dy<0.6 	 -45<=dphi<-35 	 R2=0.145849
0.6<=dy<0.68 	 -45<=dphi<-35 	 R2=0.00553703
0.68<=dy<0.76 	 -45<=dphi<-35 	 R2=-0.1735
0.76<=dy<0.84 	 -45<=dphi<-35 	 R2=-0.0931025
0.84<=dy<0.92 	 -45<=dphi<-35 	 R2=0.279843
0.92<=dy<1 	 -45<=dphi<-35 	 R2=-0.0303706
1<=dy<1.08 	 -45<=dphi<-35 	 R2=-0.187109
1.08<=dy<1.16 	 -45<=dphi<-35 	 R2=-0.115212
-1.16<=dy<-1.08 	 -35<=dphi<-25 	 R2=0.137008
-1.08<=dy<-1 	 -35<=dphi<-25 	 R2=-0.159076
-1<=dy<-0.92 	 -35<=dphi<-25 	 R2=0.0428417
-0.92<=dy<-0.84 	 -35<=dphi<-25 	 R2=-0.10919
-0.84<=dy<-0.76 	 -35<=dphi<-25 	 R2=0.0197032
-0.76<=dy<-0.68 	 -35<=dphi<-25 	 R2=0.0561245
-0.68<=dy<-0.6 	 -35<=dphi<-25 	 R2=0.0186688
-0.6<=dy<-0.52 	 -35<=dphi<-25 	 R2=0.147498
-0.52<=dy<-0.44 	 -35<=dphi<-25 	 R2=0.0475243
-0.44<=dy<-0.36 	 -35<=dphi<-25 	 R2=0.115379
-0.36<=dy<-0.28 	 -35<=dphi<-25 	 R2=0.0139973
-0.28<=dy<-0.2 	 -35<=dphi<-25 	 R2=-0.109464
-0.2<=dy<-0.12 	 -35<=dphi<-25 	 R2=0.0137636
-0.12<=dy<-0.04 	 -35<=dphi<-25 	 R2=-0.122679
-0.04<=dy<0.04 	 -35<=dphi<-25 	 R2=-0.071368
0.04<=dy<0.12 	 -35<=dphi<-25 	 R2=-0.158535
0.12<=dy<0.2 	 -35<=dphi<-25 	 R2=0.0415698
0.2<=dy<0.28 	 -35<=dphi<-25 	 R2=0.014072
0.28<=dy<0.36 	 -35<=dphi<-25 	 R2=0.0335898
0.36<=dy<0.44 	 -35<=dphi<-25 	 R2=0.10831
0.44<=dy<0.52 	 -35<=dphi<-25 	 R2=0.175702
0.52<=dy<0.6 	 -35<=dphi<-25 	 R2=-0.0722196
0.6<=dy<0.68 	 -35<=dphi<-25 	 R2=0.0810863
0.68<=dy<0.76 	 -35<=dphi<-25 	 R2=0.098119
0.76<=dy<0.84 	 -35<=dphi<-25 	 R2=0.00885485
0.84<=dy<0.92 	 -35<=dphi<-25 	 R2=0.18189
0.92<=dy<1 	 -35<=dphi<-25 	 R2=0.152992
1<=dy<1.08 	 -35<=dphi<-25 	 R2=0.0723691
1.08<=dy<1.16 	 -35<=dphi<-25 	 R2=-0.0716054
-1.16<=dy<-1.08 	 -25<=dphi<-15 	 R2=-0.264019
-1.08<=dy<-1 	 -25<=dphi<-15 	 R2=-0.0108556
-1<=dy<-0.92 	 -25<=dphi<-15 	 R2=0.104475
-0.92<=dy<-0.84 	 -25<=dphi<-15 	 R2=0.128514
-0.84<=dy<-0.76 	 -25<=dphi<-15 	 R2=-0.0634143
-0.76<=dy<-0.68 	 -25<=dphi<-15 	 R2=-0.0827449
-0.68<=dy<-0.6 	 -25<=dphi<-15 	 R2=-0.144448
-0.6<=dy<-0.52 	 -25<=dphi<-15 	 R2=-0.0716697
-0.52<=dy<-0.44 	 -25<=dphi<-15 	 R2=0.0727879
-0.44<=dy<-0.36 	 -25<=dphi<-15 	 R2=0.0164402
-0.36<=dy<-0.28 	 -25<=dphi<-15 	 R2=-0.0751019
-0.28<=dy<-0.2 	 -25<=dphi<-15 	 R2=0.0091153
-0.2<=dy<-0.12 	 -25<=dphi<-15 	 R2=0.175929
-0.12<=dy<-0.04 	 -25<=dphi<-15 	 R2=-0.038729
-0.04<=dy<0.04 	 -25<=dphi<-15 	 R2=-0.0598997
0.04<=dy<0.12 	 -25<=dphi<-15 	 R2=-0.0183707
0.12<=dy<0.2 	 -25<=dphi<-15 	 R2=0.175957
0.2<=dy<0.28 	 -25<=dphi<-15 	 R2=0.00558988
0.28<=dy<0.36 	 -25<=dphi<-15 	 R2=-0.12479
0.36<=dy<0.44 	 -25<=dphi<-15 	 R2=0.0816008
0.44<=dy<0.52 	 -25<=dphi<-15 	 R2=0.0427516
0.52<=dy<0.6 	 -25<=dphi<-15 	 R2=0.149662
0.6<=dy<0.68 	 -25<=dphi<-15 	 R2=0.113679
0.68<=dy<0.76 	 -25<=dphi<-15 	 R2=0.0985713
0.76<=dy<0.84 	 -25<=dphi<-15 	 R2=-0.0572202
0.84<=dy<0.92 	 -25<=dphi<-15 	 R2=0.0412922
0.92<=dy<1 	 -25<=dphi<-15 	 R2=0.0432105
1<=dy<1.08 	 -25<=dphi<-15 	 R2=0.194735
1.08<=dy<1.16 	 -25<=dphi<-15 	 R2=-0.672589
-1.16<=dy<-1.08 	 -15<=dphi<-5 	 R2=-0.458902
-1.08<=dy<-1 	 -15<=dphi<-5 	 R2=0.457618
-1<=dy<-0.92 	 -15<=dphi<-5 	 R2=0.00155041
-0.92<=dy<-0.84 	 -15<=dphi<-5 	 R2=-0.150112
-0.84<=dy<-0.76 	 -15<=dphi<-5 	 R2=-0.344829
-0.76<=dy<-0.68 	 -15<=dphi<-5 	 R2=-0.185451
-0.68<=dy<-0.6 	 -15<=dphi<-5 	 R2=-0.149586
-0.6<=dy<-0.52 	 -15<=dphi<-5 	 R2=-0.053538
-0.52<=dy<-0.44 	 -15<=dphi<-5 	 R2=0.0485336
-0.44<=dy<-0.36 	 -15<=dphi<-5 	 R2=-0.00442557
-0.36<=dy<-0.28 	 -15<=dphi<-5 	 R2=0.108568
-0.28<=dy<-0.2 	 -15<=dphi<-5 	 R2=-0.0225647
-0.2<=dy<-0.12 	 -15<=dphi<-5 	 R2=-0.0628416
-0.12<=dy<-0.04 	 -15<=dphi<-5 	 R2=-0.083671
-0.04<=dy<0.04 	 -15<=dphi<-5 	 R2=0.0248225
0.04<=dy<0.12 	 -15<=dphi<-5 	 R2=-0.0777807
0.12<=dy<0.2 	 -15<=dphi<-5 	 R2=0.0627229
0.2<=dy<0.28 	 -15<=dphi<-5 	 R2=0.00968822
0.28<=dy<0.36 	 -15<=dphi<-5 	 R2=0.200534
0.36<=dy<0.44 	 -15<=dphi<-5 	 R2=0.119037
0.44<=dy<0.52 	 -15<=dphi<-5 	 R2=0.0421722
0.52<=dy<0.6 	 -15<=dphi<-5 	 R2=-0.0904825
0.6<=dy<0.68 	 -15<=dphi<-5 	 R2=-0.00354747
0.68<=dy<0.76 	 -15<=dphi<-5 	 R2=-0.304214
0.76<=dy<0.84 	 -15<=dphi<-5 	 R2=-0.238641
0.84<=dy<0.92 	 -15<=dphi<-5 	 R2=0.47582
0.92<=dy<1 	 -15<=dphi<-5 	 R2=-0.0739303
1<=dy<1.08 	 -15<=dphi<-5 	 R2=0.285897
1.08<=dy<1.16 	 -15<=dphi<-5 	 R2=0.0226647
-1.16<=dy<-1.08 	 -5<=dphi<5 	 R2=0.47901
-1.08<=dy<-1 	 -5<=dphi<5 	 R2=0.00975451
-1<=dy<-0.92 	 -5<=dphi<5 	 R2=0.0151238
-0.92<=dy<-0.84 	 -5<=dphi<5 	 R2=0.02981
-0.84<=dy<-0.76 	 -5<=dphi<5 	 R2=0.137923
-0.76<=dy<-0.68 	 -5<=dphi<5 	 R2=0.139955
-0.68<=dy<-0.6 	 -5<=dphi<5 	 R2=0.0664063
-0.6<=dy<-0.52 	 -5<=dphi<5 	 R2=-0.00596924
-0.52<=dy<-0.44 	 -5<=dphi<5 	 R2=-0.109309
-0.44<=dy<-0.36 	 -5<=dphi<5 	 R2=0.0446715
-0.36<=dy<-0.28 	 -5<=dphi<5 	 R2=0.0607073
-0.28<=dy<-0.2 	 -5<=dphi<5 	 R2=-0.0974613
-0.2<=dy<-0.12 	 -5<=dphi<5 	 R2=-0.157186
-0.12<=dy<-0.04 	 -5<=dphi<5 	 R2=-0.0393938
-0.04<=dy<0.04 	 -5<=dphi<5 	 R2=-0.0914603
0.04<=dy<0.12 	 -5<=dphi<5 	 R2=0.00318683
0.12<=dy<0.2 	 -5<=dphi<5 	 R2=-0.0355374
0.2<=dy<0.28 	 -5<=dphi<5 	 R2=-0.110489
0.28<=dy<0.36 	 -5<=dphi<5 	 R2=0.0949134
0.36<=dy<0.44 	 -5<=dphi<5 	 R2=-0.0424916
0.44<=dy<0.52 	 -5<=dphi<5 	 R2=0.0650458
0.52<=dy<0.6 	 -5<=dphi<5 	 R2=0.0195187
0.6<=dy<0.68 	 -5<=dphi<5 	 R2=-0.0256218
0.68<=dy<0.76 	 -5<=dphi<5 	 R2=-0.00400087
0.76<=dy<0.84 	 -5<=dphi<5 	 R2=0.150485
0.84<=dy<0.92 	 -5<=dphi<5 	 R2=-0.0515043
0.92<=dy<1 	 -5<=dphi<5 	 R2=-0.00405166
1<=dy<1.08 	 -5<=dphi<5 	 R2=-0.00761118
1.08<=dy<1.16 	 -5<=dphi<5 	 R2=-0.846218
-1.16<=dy<-1.08 	 5<=dphi<15 	 R2=0.897874
-1.08<=dy<-1 	 5<=dphi<15 	 R2=-0.0511968
-1<=dy<-0.92 	 5<=dphi<15 	 R2=-0.0722115
-0.92<=dy<-0.84 	 5<=dphi<15 	 R2=-0.0993921
-0.84<=dy<-0.76 	 5<=dphi<15 	 R2=-0.228389
-0.76<=dy<-0.68 	 5<=dphi<15 	 R2=0.0443118
-0.68<=dy<-0.6 	 5<=dphi<15 	 R2=-0.0198388
-0.6<=dy<-0.52 	 5<=dphi<15 	 R2=-0.0666686
-0.52<=dy<-0.44 	 5<=dphi<15 	 R2=-0.0883271
-0.44<=dy<-0.36 	 5<=dphi<15 	 R2=0.024968
-0.36<=dy<-0.28 	 5<=dphi<15 	 R2=0.0283937
-0.28<=dy<-0.2 	 5<=dphi<15 	 R2=-0.0355269
-0.2<=dy<-0.12 	 5<=dphi<15 	 R2=-0.0628416
-0.12<=dy<-0.04 	 5<=dphi<15 	 R2=-0.083671
-0.04<=dy<0.04 	 5<=dphi<15 	 R2=0.0248225
0.04<=dy<0.12 	 5<=dphi<15 	 R2=-0.0777807
0.12<=dy<0.2 	 5<=dphi<15 	 R2=0.0627229
0.2<=dy<0.28 	 5<=dphi<15 	 R2=0.0294992
0.28<=dy<0.36 	 5<=dphi<15 	 R2=-0.102866
0.36<=dy<0.44 	 5<=dphi<15 	 R2=0.0234305
0.44<=dy<0.52 	 5<=dphi<15 	 R2=-0.0434469
0.52<=dy<0.6 	 5<=dphi<15 	 R2=-0.0388121
0.6<=dy<0.68 	 5<=dphi<15 	 R2=0.055008
0.68<=dy<0.76 	 5<=dphi<15 	 R2=-0.0365225
0.76<=dy<0.84 	 5<=dphi<15 	 R2=0.0704656
0.84<=dy<0.92 	 5<=dphi<15 	 R2=-0.171068
0.92<=dy<1 	 5<=dphi<15 	 R2=-0.0619133
1<=dy<1.08 	 5<=dphi<15 	 R2=0.197788
1.08<=dy<1.16 	 5<=dphi<15 	 R2=-0.310118
-1.16<=dy<-1.08 	 15<=dphi<25 	 R2=-0.185634
-1.08<=dy<-1 	 15<=dphi<25 	 R2=0.208212
-1<=dy<-0.92 	 15<=dphi<25 	 R2=0.0553604
-0.92<=dy<-0.84 	 15<=dphi<25 	 R2=-0.191268
