Figure 1-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign pions
-0.69<=dy<-0.63 	 -55<=dphi<-45 	 R2=-0.0123373
-0.63<=dy<-0.57 	 -55<=dphi<-45 	 R2=0.00974301
-0.57<=dy<-0.51 	 -55<=dphi<-45 	 R2=-0.0075307
-0.51<=dy<-0.45 	 -55<=dphi<-45 	 R2=-0.00166969
-0.45<=dy<-0.39 	 -55<=dphi<-45 	 R2=0.00457163
-0.39<=dy<-0.33 	 -55<=dphi<-45 	 R2=-0.00719964
-0.33<=dy<-0.27 	 -55<=dphi<-45 	 R2=-0.00570975
-0.27<=dy<-0.21 	 -55<=dphi<-45 	 R2=-0.000418961
-0.21<=dy<-0.15 	 -55<=dphi<-45 	 R2=-0.00274595
-0.15<=dy<-0.09 	 -55<=dphi<-45 	 R2=-0.00707823
-0.09<=dy<-0.03 	 -55<=dphi<-45 	 R2=-0.00683502
-0.03<=dy<0.03 	 -55<=dphi<-45 	 R2=0.00441508
0.03<=dy<0.09 	 -55<=dphi<-45 	 R2=0.00238151
0.09<=dy<0.15 	 -55<=dphi<-45 	 R2=-0.00595871
0.15<=dy<0.21 	 -55<=dphi<-45 	 R2=0.0065808
0.21<=dy<0.27 	 -55<=dphi<-45 	 R2=0.00222507
0.27<=dy<0.33 	 -55<=dphi<-45 	 R2=-0.011654
0.33<=dy<0.39 	 -55<=dphi<-45 	 R2=-0.00387909
0.39<=dy<0.45 	 -55<=dphi<-45 	 R2=-0.00941493
0.45<=dy<0.51 	 -55<=dphi<-45 	 R2=-0.00634755
0.51<=dy<0.57 	 -55<=dphi<-45 	 R2=0.00474686
0.57<=dy<0.63 	 -55<=dphi<-45 	 R2=-0.00535203
0.63<=dy<0.69 	 -55<=dphi<-45 	 R2=-0.0014514
0.69<=dy<0.75 	 -55<=dphi<-45 	 R2=0.00918186
0.75<=dy<0.81 	 -55<=dphi<-45 	 R2=0.0155162
-0.81<=dy<-0.75 	 -45<=dphi<-35 	 R2=0.00615479
-0.75<=dy<-0.69 	 -45<=dphi<-35 	 R2=0.000291529
-0.69<=dy<-0.63 	 -45<=dphi<-35 	 R2=-0.000129153
-0.63<=dy<-0.57 	 -45<=dphi<-35 	 R2=-0.0101408
-0.57<=dy<-0.51 	 -45<=dphi<-35 	 R2=0.00458831
-0.51<=dy<-0.45 	 -45<=dphi<-35 	 R2=-0.00412505
-0.45<=dy<-0.39 	 -45<=dphi<-35 	 R2=0.00341623
-0.39<=dy<-0.33 	 -45<=dphi<-35 	 R2=0.00473825
-0.33<=dy<-0.27 	 -45<=dphi<-35 	 R2=0.000890544
-0.27<=dy<-0.21 	 -45<=dphi<-35 	 R2=0.00942014
-0.21<=dy<-0.15 	 -45<=dphi<-35 	 R2=0.00873741
