# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# Central
0.105 0.01 0.0981693 0.00211 0.0138769 0.102129 0.961225 1.13838 1.00553
0.1175 0.015 0.0596019 0.00175331 0.0084009 0.0553017 1.07776 1.25549 1.00867
0.1425 0.035 0.0383711 0.00122169 0.00542225 0.0305712 1.25514 1.43365 1.01292
0.185 0.05 0.0293319 0.00112312 0.00425705 0.0225411 1.30126 1.46633 1.01523
0.26 0.1 0.0185442 0.000901864 0.00276339 0.0149067 1.24402 1.49119 1.01808
0.36 0.1 0.0128227 0.00101966 0.00211516 0.00937604 1.3676 1.68001 1.25328
0.46 0.1 0.0117809 0.00115473 0.0018295 0.00621167 1.89658 2.08143 1.80989
0.56 0.1 0.00919084 0.00112889 0.00176944 0.00524407 1.75261 2.33218 2.2871
0.655 0.09 0.00959297 0.00107316 0.00175694 0.00453934 2.11329 2.71361 2.88497
0.74 0.08 0.0113696 0.00101201 0.00175533 0.00903078 1.25898 1.9237 2.26686
0.7825 0.005 0.0342357 0.00381717 0.00514882 0.0374076 0.915206 1.20084 1.27517
0.7875 0.005 0.029607 0.00378859 0.00456706 0.0291697 1.01499 1.24433 1.35299
0.815 0.05 0.0091575 0.0011437 0.00177945 0.00654227 1.39974 1.7709 2.25118
0.895 0.11 0.00408993 0.000681467 0.000649038 0.00314496 1.30047 1.7207 2.00788
0.975 0.05 0.00594296 0.000894056 0.000993524 0.00452409 1.31363 1.40368 1.33962
1.005 0.01 0.0149464 0.00171217 0.00214699 0.014619 1.0224 1.08168 1.08832
1.0125 0.005 0.0266226 0.00223992 0.00386037 0.0285918 0.931127 1.04178 1.04198
1.02 0.01 0.0290478 0.0015843 0.00423684 0.0339264 0.856201 1.03519 1.0342
1.0325 0.015 0.00948853 0.00125085 0.00163433 0.0130309 0.728155 1.09166 1.08436
1.065 0.05 0.00241504 0.000647834 0.000828696 0.00272603 0.885919 1.43812 1.36164
1.17 0.16 0.00194251 0.000309595 0.000688255 0.00162698 1.19394 1.4483 1.40881
1.325 0.15 0.00158642 0.000250732 0.000427003 0.00112347 1.41207 1.36357 1.3632
1.475 0.15 0.00122128 0.000200436 0.000285371 0.000803382 1.52017 1.26714 1.33838
1.6375 0.175 0.000945334 0.000147024 0.000199125 0.000563216 1.67846 1.22162 1.31939
1.85 0.25 0.000534019 9.22126e-05 0.000102968 0.000358754 1.48854 1.16798 1.29594
2.1 0.25 0.000232542 6.60003e-05 4.87143e-05 0.000218961 1.06202 1.12233 1.27782
2.3625 0.275 0.000162129 4.52643e-05 3.25912e-05 0.000140245 1.15604 1.08493 1.26014
2.65 0.3 0.000115256 3.08385e-05 2.412e-05 0.000100313 1.14897 1.04942 1.22081
2.895 0.19 0.000134207 2.95649e-05 2.45566e-05 0.000121402 1.10548 1.01924 1.1242
3.0125 0.045 0.000355171 5.5537e-05 5.14412e-05 0.000304057 1.16811 1.0052 1.04139
3.045 0.02 0.000847425 8.61013e-05 0.000116635 0.000690715 1.22688 1.0021 1.01746
3.0625 0.015 0.00116675 0.000102604 0.000160742 0.00117393 0.993881 1.00128 1.01004
3.0725 0.005 0.00152631 0.000183381 0.000209798 0.00148965 1.02461 1.00099 1.00779
3.0825 0.015 0.00176382 0.000108034 0.000242695 0.00172622 1.02178 1.00085 1.00666
3.0925 0.005 0.00226656 0.000195874 0.000311505 0.00183242 1.23692 1.00082 1.00614
3.0975 0.005 0.00197886 0.000190224 0.000272634 0.00181103 1.09267 1.00082 1.00624
3.11 0.02 0.00182773 9.28263e-05 0.000251931 0.00153712 1.18906 1.00071 1.00713
3.1275 0.015 0.00101344 9.54814e-05 0.000139683 0.000975865 1.0385 1.00114 1.0109
3.1725 0.075 0.000205933 3.58307e-05 2.83685e-05 0.000249278 0.826118 1.00431 1.04011
3.305 0.19 5.01344e-05 1.88886e-05 7.04233e-06 4.45337e-05 1.12576 1.01609 1.19447
3.625 0.45 3.12458e-05 9.02931e-06 4.3395e-06 3.18211e-05 0.98192 1.00925 1.17059
4.125 0.55 1.94827e-05 5.17846e-06 2.68835e-06 1.53108e-05 1.27248 1.00484 1
# 40-80%
0.005 0.01 2.13764 0.0022644 0.298009 2.71728 0.786683 1.0059 1
0.015 0.01 0.577945 0.00108797 0.0806174 0.748414 0.772226 1.00402 1.00195
0.025 0.01 0.306835 0.000770617 0.0428261 0.416418 0.736843 1.00722 1.00113
0.035 0.01 0.201698 0.000627458 0.0281667 0.269804 0.747573 1.01114 1.00109
0.045 0.01 0.143055 0.000540754 0.019977 0.193041 0.741059 1.01557 1.00106
0.055 0.01 0.105472 0.000486819 0.0147529 0.139453 0.756329 1.01381 1.00116
0.065 0.01 0.0794262 0.00044812 0.0111278 0.103959 0.764013 1.01852 1.00123
0.075 0.01 0.0570241 0.000418935 0.00799887 0.0718611 0.793532 1.02679 1.00142
0.085 0.01 0.0410734 0.000395758 0.00578032 0.0513336 0.800127 1.0375 1.00182
0.095 0.01 0.0273183 0.000381217 0.00384837 0.0329933 0.827995 1.05836 1.00256
0.105 0.01 0.0168669 0.000366985 0.00237541 0.0220969 0.763315 1.07598 1.00363
0.1175 0.015 0.0106609 0.000294515 0.00150491 0.0123177 0.865494 1.13629 1.00519
0.1425 0.035 0.00677457 0.000192966 0.000958577 0.00698718 0.969572 1.22575 1.00729
0.185 0.05 0.00525375 0.000173099 0.000753943 0.0051225 1.02562 1.24534 1.00686
0.255 0.09 0.0032697 0.000142805 0.000467739 0.00340088 0.961428 1.26171 1.00659
0.35 0.1 0.00247807 0.000152222 0.00036608 0.00208966 1.18587 1.36877 1.15035
0.43 0.06 0.00193051 0.000220542 0.000298684 0.00137573 1.40326 1.60971 1.3973
0.525 0.13 0.00171428 0.000151535 0.000253986 0.000987146 1.7366 1.94022 2.01846
0.6325 0.085 0.00179549 0.000168987 0.000270612 0.000806774 2.22552 2.30886 2.65202
0.7275 0.105 0.00229401 0.00013229 0.000353938 0.00156181 1.46882 1.75727 2.412
0.785 0.01 0.00593156 0.000398322 0.000852339 0.00745403 0.795752 1.14075 1.29787
