# M_{ee}  dN/dM  stat.  
0.665 0.00136093 0.000156307
0.695 0.00113686 0.000150862
0.725 0.0013132 0.000145215
0.7475 0.00133008 0.000199139
0.76 0.00140767 0.000239659
0.7675 0.00197712 0.000335714
0.775 0.00241986 0.000235119
0.7825 0.00323857 0.000329564
0.7875 0.00284287 0.000326789
0.7925 0.00133398 0.000323034
0.7975 0.00109751 0.000320366
0.805 0.000890253 0.000223808
0.8175 0.000925579 0.000179262
0.8325 0.000878397 0.000175063
0.8575 0.000543274 0.000110021
