# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
0.7625 0.045 0.00386785 0.000405064 0.000705313 0.004216 0.917421 1.49337 2.10287
0.7925 0.015 0.0046294 0.000687141 0.000848774 0.00511246 0.905513 1.33644 1.59813
0.85 0.1 0.00134111 0.000253423 0.000345988 0.00110704 1.21144 1.83818 2.72745
0.9525 0.105 0.00122052 0.000199813 0.000214752 0.001206 1.01204 1.4153 1.60774
1.01 0.01 0.00674425 0.000557998 0.000949221 0.00620034 1.08772 1.05209 1.08857
1.02 0.01 0.00880659 0.000552588 0.00126564 0.00911476 0.96619 1.03542 1.05878
1.05 0.05 0.0014374 0.000232559 0.00034716 0.00162803 0.882906 1.19832 1.2047
1.125 0.1 0.000715861 0.000144289 0.000254482 0.000563945 1.26938 1.42484 1.47301
1.25 0.15 0.000560512 9.44748e-05 0.000181111 0.000413116 1.35679 1.34065 1.3485
1.4125 0.175 0.000397404 6.57086e-05 0.000105013 0.000281821 1.41013 1.26204 1.32822
1.6 0.2 0.000250865 4.46055e-05 5.45589e-05 0.000180218 1.39201 1.19291 1.3169
1.79 0.18 0.000113333 3.41373e-05 2.58376e-05 0.000114531 0.989542 1.14776 1.30991
1.9775 0.195 9.18704e-05 2.4189e-05 1.76504e-05 7.38482e-05 1.24404 1.12037 1.30917
2.2125 0.275 6.45978e-05 1.42011e-05 1.15236e-05 4.36762e-05 1.47902 1.09236 1.3239
2.5 0.3 2.78613e-05 8.84527e-06 5.40922e-06 2.4706e-05 1.12771 1.06293 1.33762
2.795 0.29 1.65768e-05 5.84879e-06 3.71109e-06 1.76499e-05 0.9392 1.03323 1.28964
2.995 0.11 3.53767e-05 7.29832e-06 5.2231e-06 3.78162e-05 0.935491 1.00783 1.09868
3.0575 0.015 0.000106555 2.01594e-05 1.47341e-05 0.000137431 0.775335 1.00171 1.02498
3.07 0.01 0.000166638 2.63646e-05 2.30898e-05 0.000196709 0.847131 1.00121 1.01715
3.0825 0.015 0.000186372 2.16633e-05 2.58134e-05 0.000253512 0.73516 1.00097 1.01317
3.0925 0.005 0.000258856 3.99263e-05 3.58453e-05 0.000272711 0.949194 1.00088 1.01194
3.0975 0.005 0.000309501 4.14513e-05 4.30055e-05 0.00026789 1.15533 1.00087 1.01204
3.11 0.02 0.000218474 1.88194e-05 3.02251e-05 0.000220996 0.988586 1.00079 1.01431
3.125 0.01 0.000176617 2.518e-05 2.4436e-05 0.00014025 1.2593 1.00127 1.02185
3.265 0.27 1.41554e-05 3.21346e-06 1.97598e-06 1.41961e-05 0.997132 1.00906 1.18526
