# p_{T}  Mass  stat.  syst.  simu   simu_un  Width  stat.  syst.  simu   simu_un
0.4 0.78027 0.0026318 0.0012228 0.780784 0.0001465 0.021229 0.01324 0.00986498 0.0157299 0.0007408
1 0.78441 0.0017313 0.000840919 0.780816 0.000176 0.01616 0.0053375 0.00555646 0.0159161 0.0009752
1.4 0.78083 0.00097685 0.000519659 0.780836 0.000202 0.012015 0.003843 0.00541228 0.0162634 0.00119345
1.9 0.78205 0.0021057 0.00180163 0.780825 0.0001955 0.023534 0.010409 0.00734114 0.0168162 0.0015684
2.7 0.7808 0.0012832 0.00195869 0.780867 0.000264 0.0089834 0.0064161 0.0107601 0.017098 0.00248035
