Print v2-spectra  
   
//-----------------------------------------------------------------------------------------  
// centrality:   
   
// beam energy:  	 7.7 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.019344 	 0.010064 	 0.002636 	 0.000911 	 0.001112 
0.495000 	 0.029204 	 0.004058 	 0.003413 	 0.001434 	 0.001112 
0.705000 	 0.053835 	 0.003736 	 0.000170 	 0.000305 	 0.001112 
0.885000 	 0.080815 	 0.004150 	 0.000530 	 0.000832 	 0.001112 
1.095000 	 0.094969 	 0.005134 	 0.000195 	 0.000140 	 0.001112 
1.275000 	 0.107889 	 0.006710 	 0.001437 	 0.002711 	 0.001112 
1.485000 	 0.129731 	 0.009123 	 0.000571 	 0.001095 	 0.001112 
1.755000 	 0.156801 	 0.010566 	 0.001375 	 0.002537 	 0.001112 
2.175000 	 0.181197 	 0.020390 	 0.003552 	 0.003505 	 0.001112 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.645000 	 0.074782 	 0.024659 	 0.004034 	 0.009354 	 0.001112 
1.245000 	 0.039669 	 0.043780 	 0.002671 	 0.004901 	 0.001112 
   
   
// beam energy:  	 11.5 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.032881 	 0.005787 	 0.000762 	 0.000651 	 0.000806 
0.495000 	 0.025379 	 0.002307 	 0.000685 	 0.000376 	 0.000806 
0.705000 	 0.056364 	 0.002105 	 0.000365 	 0.000356 	 0.000806 
0.885000 	 0.080694 	 0.002318 	 0.000635 	 0.000303 	 0.000806 
1.095000 	 0.114027 	 0.002825 	 0.000165 	 0.000276 	 0.000806 
1.275000 	 0.131065 	 0.003630 	 0.001485 	 0.000746 	 0.000806 
1.485000 	 0.151693 	 0.004819 	 0.002585 	 0.001313 	 0.000806 
1.695000 	 0.182512 	 0.006622 	 0.000768 	 0.001334 	 0.000806 
1.875000 	 0.202355 	 0.009340 	 0.001291 	 0.002435 	 0.000806 
2.085000 	 0.218501 	 0.012580 	 0.001926 	 0.000987 	 0.000806 
