Print v2-spectra  
   
//-----------------------------------------------------------------------------------------  
// centrality:   
   
// beam energy:  	 7.7 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
1.875000 	 0.154429 	 0.000866 	 0.001057 	 0.000512 	 0.000125 
2.085000 	 0.165670 	 0.001159 	 0.000580 	 0.000281 	 0.000125 
2.295000 	 0.177735 	 0.001558 	 0.000874 	 0.000479 	 0.000125 
2.475000 	 0.194259 	 0.002175 	 0.000641 	 0.000943 	 0.000125 
2.685000 	 0.197949 	 0.003081 	 0.001517 	 0.000779 	 0.000125 
2.955000 	 0.205333 	 0.003565 	 0.000449 	 0.000219 	 0.000125 
3.345000 	 0.221208 	 0.007277 	 0.001246 	 0.002167 	 0.000125 
   
   
// beam energy:  	 62.4 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.006845 	 0.000883 	 0.002622 	 0.000882 	 0.000264 
0.495000 	 0.015116 	 0.000305 	 0.001544 	 0.000619 	 0.000264 
0.705000 	 0.032533 	 0.000249 	 0.001904 	 0.000837 	 0.000264 
0.885000 	 0.055876 	 0.000247 	 0.001885 	 0.000858 	 0.000264 
1.095000 	 0.081895 	 0.000272 	 0.001734 	 0.000801 	 0.000264 
1.275000 	 0.106877 	 0.000319 	 0.001290 	 0.000601 	 0.000264 
1.485000 	 0.129578 	 0.000390 	 0.001121 	 0.000528 	 0.000264 
1.695000 	 0.148797 	 0.000500 	 0.000781 	 0.000375 	 0.000264 
1.875000 	 0.165640 	 0.000669 	 0.000849 	 0.000414 	 0.000264 
2.085000 	 0.181987 	 0.000799 	 0.000464 	 0.000256 	 0.000264 
2.295000 	 0.194254 	 0.001066 	 0.000558 	 0.000269 	 0.000264 
2.475000 	 0.199881 	 0.001503 	 0.000818 	 0.000508 	 0.000264 
2.685000 	 0.211623 	 0.002175 	 0.000387 	 0.000594 	 0.000264 
2.955000 	 0.225500 	 0.002559 	 0.000187 	 0.000387 	 0.000264 
3.345000 	 0.220917 	 0.004931 	 0.001486 	 0.001303 	 0.000264 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.006556 	 0.001207 	 0.000174 	 0.000094 	 0.000264 
0.495000 	 0.010846 	 0.000469 	 0.001728 	 0.000685 	 0.000264 
0.705000 	 0.026899 	 0.000376 	 0.002000 	 0.000867 	 0.000264 
0.885000 	 0.049721 	 0.000373 	 0.001997 	 0.000896 	 0.000264 
1.095000 	 0.074244 	 0.000413 	 0.001853 	 0.000844 	 0.000264 
1.275000 	 0.097939 	 0.000490 	 0.002241 	 0.001033 	 0.000264 
1.485000 	 0.121136 	 0.000606 	 0.001657 	 0.000771 	 0.000264 
1.695000 	 0.142170 	 0.000787 	 0.001127 	 0.000536 	 0.000264 
1.875000 	 0.160819 	 0.000935 	 0.001028 	 0.000493 	 0.000264 
2.085000 	 0.171942 	 0.001257 	 0.001236 	 0.000591 	 0.000264 
2.295000 	 0.183975 	 0.001700 	 0.000198 	 0.000150 	 0.000264 
2.475000 	 0.193206 	 0.002462 	 0.000037 	 0.000022 	 0.000264 
2.685000 	 0.198831 	 0.003806 	 0.001245 	 0.001255 	 0.000264 
2.955000 	 0.223087 	 0.004524 	 0.000447 	 0.000420 	 0.000264 
3.345000 	 0.214498 	 0.008700 	 0.002508 	 0.001397 	 0.000264 
   
   
// beam energy:  	 19.6 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.007927 	 0.000958 	 0.000791 	 0.000276 	 0.000459 
0.495000 	 0.018492 	 0.000375 	 0.001041 	 0.000418 	 0.000459 
0.705000 	 0.037505 	 0.000322 	 0.001084 	 0.000480 	 0.000459 
0.885000 	 0.061013 	 0.000332 	 0.000945 	 0.000435 	 0.000459 
1.095000 	 0.084608 	 0.000379 	 0.000870 	 0.000405 	 0.000459 
1.275000 	 0.107231 	 0.000461 	 0.000866 	 0.000412 	 0.000459 
1.485000 	 0.127185 	 0.000585 	 0.000688 	 0.000333 	 0.000459 
1.695000 	 0.144573 	 0.000773 	 0.000578 	 0.000276 	 0.000459 
1.875000 	 0.157226 	 0.001053 	 0.000407 	 0.000210 	 0.000459 
2.085000 	 0.172421 	 0.001342 	 0.000111 	 0.000194 	 0.000459 
2.295000 	 0.181980 	 0.001827 	 0.000133 	 0.000185 	 0.000459 
2.475000 	 0.188198 	 0.002568 	 0.000473 	 0.000262 	 0.000459 
2.685000 	 0.196454 	 0.003653 	 0.000404 	 0.000235 	 0.000459 
2.955000 	 0.199378 	 0.004279 	 0.000435 	 0.000765 	 0.000459 
3.345000 	 0.220326 	 0.008951 	 0.000599 	 0.001019 	 0.000459 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.003788 	 0.002751 	 0.000443 	 0.001360 	 0.000459 
0.495000 	 0.006283 	 0.001147 	 0.001498 	 0.000585 	 0.000459 
0.705000 	 0.024084 	 0.000974 	 0.001273 	 0.000547 	 0.000459 
0.885000 	 0.043526 	 0.001009 	 0.001460 	 0.000669 	 0.000459 
1.095000 	 0.066296 	 0.001171 	 0.001834 	 0.000830 	 0.000459 
1.275000 	 0.084498 	 0.001458 	 0.001870 	 0.000862 	 0.000459 
1.485000 	 0.108297 	 0.001896 	 0.001134 	 0.000525 	 0.000459 
1.695000 	 0.125534 	 0.002599 	 0.001059 	 0.000550 	 0.000459 
1.875000 	 0.135189 	 0.003180 	 0.002290 	 0.001148 	 0.000459 
2.085000 	 0.147956 	 0.004402 	 0.001854 	 0.000897 	 0.000459 
2.265000 	 0.158745 	 0.006096 	 0.004088 	 0.001949 	 0.000459 
2.535000 	 0.172094 	 0.007424 	 0.000902 	 0.000785 	 0.000459 
3.015000 	 0.177293 	 0.015272 	 0.006043 	 0.003064 	 0.000459 
   
   
// beam energy:  	 27 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.007243 	 0.000704 	 0.001027 	 0.000342 	 0.000361 
0.495000 	 0.017600 	 0.000275 	 0.001134 	 0.000448 	 0.000361 
0.705000 	 0.036475 	 0.000235 	 0.001333 	 0.000582 	 0.000361 
0.885000 	 0.059506 	 0.000240 	 0.001234 	 0.000559 	 0.000361 
1.095000 	 0.084530 	 0.000272 	 0.001032 	 0.000474 	 0.000361 
1.275000 	 0.107969 	 0.000327 	 0.000666 	 0.000309 	 0.000361 
1.485000 	 0.129523 	 0.000409 	 0.000734 	 0.000343 	 0.000361 
1.695000 	 0.148708 	 0.000529 	 0.000374 	 0.000176 	 0.000361 
1.875000 	 0.163259 	 0.000701 	 0.000259 	 0.000123 	 0.000361 
2.085000 	 0.176651 	 0.000902 	 0.000052 	 0.000025 	 0.000361 
2.295000 	 0.184800 	 0.001211 	 0.000082 	 0.000044 	 0.000361 
2.475000 	 0.195875 	 0.001671 	 0.000034 	 0.000071 	 0.000361 
2.685000 	 0.201553 	 0.002354 	 0.000072 	 0.000152 	 0.000361 
2.955000 	 0.209258 	 0.002725 	 0.000549 	 0.000261 	 0.000361 
3.435000 	 0.214492 	 0.005257 	 0.000324 	 0.000690 	 0.000361 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.000034 	 0.001523 	 0.000533 	 0.000186 	 0.000361 
0.495000 	 0.009661 	 0.000645 	 0.002032 	 0.000788 	 0.000361 
0.705000 	 0.024902 	 0.000545 	 0.001369 	 0.000579 	 0.000361 
0.885000 	 0.045832 	 0.000559 	 0.001448 	 0.000638 	 0.000361 
1.095000 	 0.069356 	 0.000635 	 0.001688 	 0.000758 	 0.000361 
1.275000 	 0.089784 	 0.000773 	 0.001610 	 0.000731 	 0.000361 
1.485000 	 0.112537 	 0.000977 	 0.000629 	 0.000288 	 0.000361 
1.695000 	 0.131383 	 0.001281 	 0.000883 	 0.000408 	 0.000361 
1.875000 	 0.145580 	 0.001591 	 0.000894 	 0.000415 	 0.000361 
2.085000 	 0.159333 	 0.002144 	 0.000738 	 0.000344 	 0.000361 
2.295000 	 0.173659 	 0.002901 	 0.000287 	 0.000160 	 0.000361 
2.475000 	 0.179558 	 0.004049 	 0.000423 	 0.000200 	 0.000361 
2.685000 	 0.186008 	 0.005713 	 0.000156 	 0.000211 	 0.000361 
2.955000 	 0.196745 	 0.006690 	 0.000886 	 0.000419 	 0.000361 
3.435000 	 0.199973 	 0.012929 	 0.001872 	 0.000878 	 0.000361 
