Print v2-spectra  
   
//-----------------------------------------------------------------------------------------  
// centrality:   
   
// beam energy:  	 7.7 GeV 
// Event plane method: eta-sub     
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.001306 	 0.001772 	 0.000384 	 0.001104 	 0.001491 
0.495000 	 0.001846 	 0.000604 	 0.001421 	 0.000556 	 0.001491 
0.705000 	 0.009075 	 0.000481 	 0.001530 	 0.000655 	 0.001491 
0.885000 	 0.019519 	 0.000465 	 0.001564 	 0.000698 	 0.001491 
1.095000 	 0.032765 	 0.000500 	 0.001073 	 0.000491 	 0.001491 
1.275000 	 0.046779 	 0.000579 	 0.001312 	 0.000604 	 0.001491 
1.485000 	 0.059450 	 0.000700 	 0.000877 	 0.000410 	 0.001491 
1.695000 	 0.069809 	 0.000888 	 0.000915 	 0.000438 	 0.001491 
1.875000 	 0.078411 	 0.001179 	 0.001396 	 0.000662 	 0.001491 
2.085000 	 0.087637 	 0.001409 	 0.000433 	 0.000226 	 0.001491 
2.295000 	 0.092330 	 0.001880 	 0.000545 	 0.000278 	 0.001491 
2.475000 	 0.100487 	 0.002646 	 0.000307 	 0.000195 	 0.001491 
2.685000 	 0.101097 	 0.003797 	 0.000768 	 0.001633 	 0.001491 
3.045000 	 0.108177 	 0.004434 	 0.000706 	 0.000374 	 0.001491 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.003324 	 0.002520 	 0.000302 	 0.000306 	 0.001491 
0.495000 	 -0.002719 	 0.000970 	 0.000818 	 0.000318 	 0.001491 
0.705000 	 0.004742 	 0.000755 	 0.001276 	 0.000541 	 0.001491 
0.885000 	 0.016890 	 0.000727 	 0.001158 	 0.000511 	 0.001491 
1.095000 	 0.028739 	 0.000784 	 0.001602 	 0.000736 	 0.001491 
1.275000 	 0.040991 	 0.000913 	 0.001087 	 0.000495 	 0.001491 
1.485000 	 0.052120 	 0.001110 	 0.001495 	 0.000688 	 0.001491 
1.695000 	 0.062563 	 0.001427 	 0.001262 	 0.000715 	 0.001491 
1.875000 	 0.072546 	 0.001658 	 0.000208 	 0.000326 	 0.001491 
2.085000 	 0.076714 	 0.002221 	 0.001164 	 0.000568 	 0.001491 
2.295000 	 0.081384 	 0.003002 	 0.000598 	 0.000333 	 0.001491 
2.535000 	 0.092351 	 0.003681 	 0.000872 	 0.000477 	 0.001491 
3.045000 	 0.083035 	 0.007825 	 0.002279 	 0.002121 	 0.001491 
   
   
// beam energy:  	 19.6 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 -0.002694 	 0.001893 	 0.000617 	 0.001201 	 0.000744 
0.495000 	 0.005961 	 0.000728 	 0.000287 	 0.000376 	 0.000744 
0.705000 	 0.013904 	 0.000610 	 0.000416 	 0.000208 	 0.000744 
0.885000 	 0.025620 	 0.000612 	 0.000270 	 0.000130 	 0.000744 
1.095000 	 0.036874 	 0.000684 	 0.000286 	 0.000141 	 0.000744 
1.275000 	 0.048664 	 0.000820 	 0.000204 	 0.000198 	 0.000744 
1.485000 	 0.056590 	 0.001031 	 0.000102 	 0.000111 	 0.000744 
1.695000 	 0.064166 	 0.001353 	 0.000248 	 0.000211 	 0.000744 
1.875000 	 0.071147 	 0.001839 	 0.001476 	 0.000703 	 0.000744 
2.085000 	 0.073931 	 0.002347 	 0.000426 	 0.000527 	 0.000744 
2.295000 	 0.079297 	 0.003201 	 0.000672 	 0.000516 	 0.000744 
2.535000 	 0.086171 	 0.003751 	 0.000324 	 0.000391 	 0.000744 
3.045000 	 0.086505 	 0.007260 	 0.001812 	 0.003018 	 0.000744 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 -0.002376 	 0.005955 	 0.014661 	 0.004644 	 0.000744 
0.495000 	 -0.006160 	 0.002424 	 0.000576 	 0.000296 	 0.000744 
0.705000 	 0.003881 	 0.001984 	 0.000955 	 0.000414 	 0.000744 
0.885000 	 0.014808 	 0.001979 	 0.000516 	 0.000392 	 0.000744 
1.095000 	 0.022800 	 0.002230 	 0.000271 	 0.000132 	 0.000744 
1.275000 	 0.035113 	 0.002717 	 0.000988 	 0.000448 	 0.000744 
1.485000 	 0.036955 	 0.003470 	 0.000727 	 0.001506 	 0.000744 
1.755000 	 0.056646 	 0.003358 	 0.000517 	 0.000263 	 0.000744 
2.145000 	 0.065816 	 0.006241 	 0.002293 	 0.001198 	 0.000744 
2.625000 	 0.073190 	 0.012013 	 0.000790 	 0.000584 	 0.000744 
   
   
// beam energy:  	 27 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.005638 	 0.001391 	 0.001003 	 0.000364 	 0.000823 
0.495000 	 0.005505 	 0.000533 	 0.000660 	 0.000260 	 0.000823 
0.705000 	 0.013887 	 0.000445 	 0.000565 	 0.000242 	 0.000823 
0.885000 	 0.026019 	 0.000443 	 0.000628 	 0.000282 	 0.000823 
1.095000 	 0.036850 	 0.000490 	 0.000574 	 0.000261 	 0.000823 
1.275000 	 0.049338 	 0.000581 	 0.000580 	 0.000267 	 0.000823 
1.485000 	 0.058616 	 0.000720 	 0.000250 	 0.000117 	 0.000823 
1.695000 	 0.067093 	 0.000928 	 0.000191 	 0.000104 	 0.000823 
1.875000 	 0.076629 	 0.001230 	 0.000206 	 0.000108 	 0.000823 
2.085000 	 0.081041 	 0.001579 	 0.000238 	 0.000148 	 0.000823 
2.295000 	 0.083566 	 0.002126 	 0.000265 	 0.000328 	 0.000823 
2.475000 	 0.086223 	 0.002952 	 0.000771 	 0.001634 	 0.000823 
2.685000 	 0.087390 	 0.004188 	 0.002861 	 0.001349 	 0.000823 
2.955000 	 0.090306 	 0.004855 	 0.000246 	 0.000371 	 0.000823 
3.435000 	 0.088792 	 0.009385 	 0.000831 	 0.001805 	 0.000823 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 -0.005173 	 0.003240 	 0.000469 	 0.001169 	 0.000823 
0.495000 	 -0.002384 	 0.001346 	 0.001690 	 0.000629 	 0.000823 
0.705000 	 0.006943 	 0.001104 	 0.000502 	 0.000216 	 0.000823 
0.885000 	 0.013263 	 0.001097 	 0.001093 	 0.000486 	 0.000823 
1.095000 	 0.026989 	 0.001206 	 0.000516 	 0.000232 	 0.000823 
1.275000 	 0.041923 	 0.001435 	 0.000744 	 0.000334 	 0.000823 
1.485000 	 0.047699 	 0.001784 	 0.000241 	 0.000113 	 0.000823 
1.695000 	 0.057948 	 0.002313 	 0.000217 	 0.000471 	 0.000823 
1.875000 	 0.063776 	 0.002819 	 0.000281 	 0.000611 	 0.000823 
2.085000 	 0.072440 	 0.003786 	 0.001257 	 0.002716 	 0.000823 
2.295000 	 0.071871 	 0.005109 	 0.000230 	 0.000437 	 0.000823 
2.535000 	 0.082805 	 0.005910 	 0.000544 	 0.000388 	 0.000823 
3.075000 	 0.079141 	 0.011772 	 0.001503 	 0.000688 	 0.000823 
