# M_{ee}   dM_{ee}   dN/dM_{ee}/Npart   stat.  syst.  (MinBias)
2.275 0.35 7.0247e-07 4.62921e-07 2.16594e-07
2.605 0.31 4.1962e-07 3.23111e-07 1.17453e-07
2.8725 0.225 3.90052e-07 2.7583e-07 1.02872e-07
3 0.03 2.2466e-06 6.64164e-07 2.92943e-07
3.03 0.03 3.52679e-06 6.53762e-07 4.58974e-07
3.0575 0.025 6.7475e-06 7.32366e-07 8.77402e-07
3.075 0.01 1.05055e-05 1.19122e-06 1.36586e-06
3.085 0.01 8.45674e-06 1.15319e-06 1.09954e-06
3.0925 0.005 1.14989e-05 1.68564e-06 1.49497e-06
3.1 0.01 1.2309e-05 1.19218e-06 1.60027e-06
3.1175 0.025 7.83823e-06 7.02562e-07 1.01912e-06
3.135 0.01 3.40718e-06 1.0211e-06 4.43246e-07
3.2075 0.135 7.17699e-07 2.47247e-07 9.44205e-08
3.4725 0.395 3.68917e-07 1.10251e-07 4.8684e-08
3.86 0.38 1.88172e-07 7.6251e-08 2.47641e-08
4.225 0.35 9.00755e-08 5.62083e-08 1.18738e-08
